date,gap,side,entry,exit,net,scenario,asset,net_points
2015-06-03 00:00:00,0.0028858608478168346,1,178.8197,178.9381,0.00046211944209704223,PRIMARY,SPY,
2015-06-04 00:00:00,-0.004057977481711217,-1,178.3967,178.439,-0.00043711200935871977,PRIMARY,SPY,
2015-06-10 00:00:00,0.004413248365164213,1,177.297,177.3816,0.0002771654342712317,PRIMARY,SPY,
2015-06-11 00:00:00,0.0026074895977810097,1,179.1242,179.1242,-0.0002,PRIMARY,SPY,
2015-06-12 00:00:00,-0.004536937408029296,-1,178.2233,177.8977,0.0016269216202371207,PRIMARY,SPY,
2015-06-15 00:00:00,-0.006476439663844369,-1,176.0028,176.155,-0.0010647589697436954,PRIMARY,SPY,
2015-06-18 00:00:00,0.00327611589716037,1,178.9974,178.9128,-0.0006726325633780393,PRIMARY,SPY,
2015-06-22 00:00:00,0.006890098292624103,1,180.314,180.0675,-0.0015670596847721318,PRIMARY,SPY,
2015-06-25 00:00:00,0.002945312203093353,1,179.3364,179.1324,-0.0013375270162666818,PRIMARY,SPY,
2015-06-26 00:00:00,0.002287631538813395,1,178.5204,178.3546,-0.0011287453982849137,PRIMARY,SPY,
2015-06-29 00:00:00,-0.00853070684441215,-1,177.0328,176.9478,0.0002801370141578332,PRIMARY,SPY,
2015-06-30 00:00:00,0.008859018436103483,1,175.9447,175.8002,-0.0010212807774261589,PRIMARY,SPY,
2015-07-01 00:00:00,0.008936784860088753,1,176.5313,176.6843,0.000666701825682048,PRIMARY,SPY,
2015-07-02 00:00:00,0.0026507380514126933,1,176.8118,176.9223,0.000424958288983013,PRIMARY,SPY,
2015-07-06 00:00:00,-0.007380685258548181,-1,174.7461,175.1117,-0.0022921783089866698,PRIMARY,SPY,
2015-07-08 00:00:00,-0.007548501639958016,-1,175.7407,175.6812,0.00013856699102718934,PRIMARY,SPY,
2015-07-09 00:00:00,0.012519301620760759,1,176.2252,176.0552,-0.0011646747457230377,PRIMARY,SPY,
2015-07-10 00:00:00,0.011713396425637068,1,176.2125,176.1794,-0.00038784138469185583,PRIMARY,SPY,
2015-07-13 00:00:00,0.007374993408096442,1,177.7553,177.7553,-0.0002,PRIMARY,SPY,
2015-07-16 00:00:00,0.005887267840806176,1,180.025,179.923,-0.0007665879738925294,PRIMARY,SPY,
2015-07-22 00:00:00,-0.0038727885355237524,-1,179.4895,179.5405,-0.0004841391836292395,PRIMARY,SPY,
2015-07-27 00:00:00,-0.005000712690644837,-1,175.6812,175.5112,0.0007676618784479896,PRIMARY,SPY,
2015-07-28 00:00:00,0.004933496512528279,1,176.3357,176.2677,-0.0005856280945946366,PRIMARY,SPY,
2015-07-30 00:00:00,-0.002752023686383165,-1,178.6904,178.4524,0.0011319126265316505,PRIMARY,SPY,
2015-07-31 00:00:00,0.0029891161792887644,1,179.4554,179.1579,-0.0018577935241847142,PRIMARY,SPY,
2015-08-05 00:00:00,0.005254572253318379,1,178.9879,179.1367,0.0006313411130025372,PRIMARY,SPY,
2015-08-10 00:00:00,0.0064921361702223734,1,178.2569,178.1889,-0.0005814719093623298,PRIMARY,SPY,
2015-08-11 00:00:00,-0.007598116029225999,-1,177.7468,177.7128,-8.71666887949357e-06,PRIMARY,SPY,
2015-08-12 00:00:00,-0.007285704377794189,-1,175.6395,175.8087,-0.001163336834823636,PRIMARY,SPY,
2015-08-17 00:00:00,-0.0032954704416077174,-1,177.0923,177.1603,-0.0005839805570315935,PRIMARY,SPY,
2015-08-19 00:00:00,-0.0041437330799433125,-1,177.4791,177.3303,0.0006384085788128992,PRIMARY,SPY,
2015-08-20 00:00:00,-0.008688541809019235,-1,175.4602,175.8682,-0.0025253136608758497,PRIMARY,SPY,
2015-08-21 00:00:00,-0.010690858741742915,-1,171.5924,172.026,-0.0027269184416094604,PRIMARY,SPY,
2015-08-24 00:00:00,-0.05168586030745559,-1,156.3084,158.9648,-0.017194608095278306,PRIMARY,SPY,
2015-08-25 00:00:00,0.03140212840856105,1,165.404,165.268,-0.001022229208483405,PRIMARY,SPY,
2015-08-26 00:00:00,0.025849340871022752,1,163.4064,162.7433,-0.004257980593171306,PRIMARY,SPY,
2015-08-27 00:00:00,0.01264428280336416,1,167.4101,167.7077,0.001577670522865593,PRIMARY,SPY,
2015-08-28 00:00:00,-0.003914419953329307,-1,169.0763,169.1698,-0.0007530047676700622,PRIMARY,SPY,
2015-08-31 00:00:00,-0.00587133476938817,-1,168.5407,168.2262,0.0016660181190655044,PRIMARY,SPY,
2015-09-01 00:00:00,-0.02267233906764976,-1,164.3924,164.911,-0.0033546470518102333,PRIMARY,SPY,
2015-09-02 00:00:00,0.015865736161685406,1,164.9365,165.0895,0.0007276297241664899,PRIMARY,SPY,
