scenario,scenario_role,spread_usd,commission_rt_usd,sample,entry_model,risk_rule,vol_floor_k,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R,pf_net,median_risk_price,min_risk_price,median_entry_delay_minutes,sum_net_R
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,13,46.15384615384615,53.84615384615385,0.0,38.46153846153847,-0.3076923076922445,0.42857142857154595,-0.40309424343859734,0.3068597562777732,0.7765959681946697,0.2755757321631336,5.0,-5.240225164701766
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,1.0,13,38.46153846153847,61.53846153846154,0.0,38.46153846153847,-0.23076923076923078,0.625,-0.3261711665155837,0.5131427557343224,0.7765959681946697,0.2755757321631336,5.0,-4.240225164702588
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,1.5,13,30.76923076923077,69.23076923076923,0.0,38.46153846153847,-0.23076923076926364,0.6666666666666192,-0.3261711665156165,0.5724454408963126,0.7765959681946697,0.2755757321631336,5.0,-4.2402251647030145
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,2.0,13,30.76923076923077,69.23076923076923,0.0,38.46153846153847,-0.07692307692307693,0.8888888888888888,-0.1723250126694298,0.7741114102711841,0.7765959681946697,0.2755757321631336,5.0,-2.2402251647025873
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,2.5,13,30.76923076923077,69.23076923076923,0.0,38.46153846153847,0.07692307692310982,1.1111111111111587,-0.018478858823243013,0.9757773796460557,0.7765959681946697,0.2755757321631336,5.0,-0.24022516470215916
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,3.0,13,30.76923076923077,69.23076923076923,0.0,38.46153846153847,0.23076923076923078,1.3333333333333333,0.13536729502287795,1.1774433490208411,0.7765959681946697,0.2755757321631336,5.0,1.7597748352974132
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,906,60.48565121412803,22.737306843267106,16.777041942604857,0.22075055187637968,0.05553274474989043,1.2134082038158596,0.03528401441920183,1.1324283836971676,3.761250000000132,0.43499999999994543,1.0,31.967317063796855
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,906,36.423841059602644,32.671081677704194,30.90507726269316,0.0,0.05256996055642407,1.1428229757600736,0.03232123022573547,1.0856532987533827,3.761250000000132,0.43499999999994543,1.0,29.283034584516336
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.5,906,23.509933774834437,37.41721854304636,39.0728476821192,0.0,0.045730388771746594,1.109612220338138,0.025481658441058,1.0595576253687764,3.761250000000132,0.43499999999994543,1.0,23.086382547598546
S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.0,906,15.894039735099339,39.845474613686534,44.260485651214125,0.0,0.03475923891892114,1.0785908570698146,0.014510508588232536,1.0319628525231141,3.761250000000132,0.43499999999994543,1.0,13.146520780938678
