sample,entry_model,vol_floor_k,target_r,years,total_trades,weighted_avg_gross_R,weighted_avg_net_R_legacy22,weighted_avg_net_R_cost1_5x,annual_mean_net_R_legacy22,annual_median_net_R_legacy22,positive_years_net_legacy22,positive_years_cost1_5x,median_pf_net_legacy22,pf_net_gt1_years,min_annual_net_R_legacy22,max_annual_net_R_legacy22,median_risk_price_across_years,min_risk_price_all_years,median_structural_risk_price_across_years,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,survives_s1_multiyear
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,15,17565,-0.03829238169256893,-0.10947089155570086,-0.1450601464872669,-0.10950244411975739,-0.110130449408319,1,0,0.7488660894267078,1,-0.2122130332615354,0.0049784235093095,3.857192660936085,0.4845000000000254,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,15,17565,-0.036490731492334755,-0.10766924135546674,-0.14325849628703272,-0.10773535017021672,-0.1050248991442103,1,0,0.7746968220960193,1,-0.223091259332934,0.011897406555524,3.857192660936085,0.4845000000000254,3.2036470233585987,True,False,False,False,False,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,15,17565,-0.0362032462388219,-0.10738175610195384,-0.14297101103351978,-0.10755266573576217,-0.0963698828876208,1,0,0.7960207814725224,1,-0.2225156812572659,0.001588482082649,3.857192660936085,0.4845000000000254,3.2036470233585987,True,False,False,False,False,False,False,False
