segment,type,DEV_n,DEV_mean,DEV_pf,DEV_sum,2024_n,2024_mean,2024_pf,2024_sum,2025_n,2025_mean,2025_pf,2025_sum,all_n,all_mean,all_pf,all_dd
Friday,weekday,439,0.19113267165460174,1.5065893457822466,83.90724285637016,162,0.16629873482349997,1.4237558244316992,26.940395041406994,42,0.6825549412832326,3.473693129452308,28.667307533895766,643,0.2169750317755411,1.5793910448772899,13.423238710675362
Monday,weekday,374,0.24878440942101204,1.6607224462131909,93.0453691234585,172,0.10620109490669571,1.274603566369805,18.266588323951662,43,0.2710161316815583,1.7318723332350907,11.653693662307006,589,0.2087702056192142,1.5507568918630374,11.87791361098444
Thursday,weekday,509,0.12407052263731175,1.3008014505537182,63.15189602239168,184,0.2136978311662969,1.555797065369563,39.32040093459863,48,0.21653326840821188,1.4348859505297848,10.39359688359417,741,0.15231564620861604,1.3705489991731756,13.569326067913089
Tuesday,weekday,533,-0.02052745293271058,0.9564813241107211,-10.941132413134738,189,0.13727450541493708,1.382162535884761,25.944881523423106,55,0.06571978387173416,1.1380316197165097,3.614588112945379,777,0.02396182396812579,1.053889864066109,21.140088462437557
Wednesday,weekday,504,0.13480432403021889,1.325742360198473,67.94137931123032,174,0.21660760322694364,1.594251662495853,37.689722961488194,63,0.34189337689938004,1.890873400610945,21.53928274466094,741,0.17161995278998576,1.4293750541865462,15.289565353249095
