model_direction,all_n,all_mean,all_pf,all_dd,dev_n,dev_mean,dev_pf,dev_sum,y2024_n,y2024_mean,y2024_pf,y2024_sum,y2025_n,y2025_mean,y2025_pf,y2025_sum,positive_periods,observed_periods,all_periods_positive,min_period_mean
kalman_mom__short,141,0.3258303908239513,1.8014096471043004,5.252522835208971,106,0.2179303824960525,1.506421945105939,23.100620544581567,13,0.30093776355463675,1.6186128957018129,3.912190926210278,22,0.8604215288811496,4.513817089616918,18.929273635385293,3,3,True,0.2179303824960525
vwap_rev__long,163,0.1693783705941606,1.4138881066511477,8.120919108154974,113,0.1674737957953468,1.4080033982102462,18.924538924874188,47,0.17648844553522544,1.4310963313123826,8.294956940155595,3,0.12972618060613206,1.3600766240088886,0.3891785418183962,3,3,True,0.12972618060613206
or_rev__long,204,0.1521357703765601,1.3326398470825418,9.450388793925647,132,0.10869023544198007,1.22838422714526,14.347111078341369,64,0.1804579569601104,1.4217872596910912,11.549309245447066,8,0.642409604128727,2.6582032334060726,5.139276833029816,3,3,True,0.10869023544198007
ou_rev__long,426,0.17242557049388535,1.4571898376390422,7.186540489489776,278,0.1060980929873541,1.2581504736675684,29.49526985048444,129,0.22991990836865162,1.7028564815332854,29.659668179556057,19,0.7525450000186665,4.398141102982356,14.298355000354665,3,3,True,0.1060980929873541
pm_mom__long,287,0.23275910700437824,1.6818744907755219,5.171289734591376,169,0.1438036481292252,1.3730278096887345,24.302816533839056,103,0.3989235101744826,2.5480033354522127,41.08912154797171,15,0.09399504189638695,1.2247063084259338,1.4099256284458044,3,3,True,0.09399504189638695
kalman_mom__long,225,0.1301066703844108,1.3208148999932725,13.502040253484331,137,0.15339114037280624,1.3876520816015994,21.014586231074453,77,0.08321995633007662,1.1952080558141887,6.4079366374159,11,0.16831617890927922,1.4394910379820849,1.8514779680020714,3,3,True,0.08321995633007662
ou_lunch__long,146,0.10710936226715455,1.3114271595083158,9.409350137954775,101,0.04783187308182946,1.1143971275861242,4.831019181264775,41,0.22326086578713236,2.1574341437630227,9.153695497272427,4,0.4133130531168401,23.036427682007627,1.6532522124673603,3,3,True,0.04783187308182946
pm_mom__short,217,0.06948703066013161,1.1566157013390495,11.791213755598994,165,0.047486826874844595,1.1068130805095393,7.8353264343493585,25,0.046541923306903966,1.1379223760216275,1.1635480826725992,27,0.2251781902306148,1.419688021012556,6.0798111362266,3,3,True,0.046541923306903966
ou_rev__short,297,0.15785376877752785,1.3790657424843085,13.317036674779068,206,0.16982427300310912,1.4277878113142621,34.98380023864048,57,0.04094284637243957,1.0827458403182793,2.3337422432290555,34,0.2813243189722426,1.69832385179967,9.565026845056249,3,3,True,0.04094284637243957
or_rev__short,150,0.09151829910635824,1.1862692926899396,9.158321295405468,112,0.03219452997933254,1.0658092764494744,3.6057873576852444,23,0.3748918126349548,1.817588724373134,8.622511690603961,15,0.09996305451096879,1.179345970895577,1.4994458176645318,3,3,True,0.03219452997933254
vwap_scalp__short,111,0.1634845051653064,1.4685852714124716,9.556853401440463,86,0.13925794227466656,1.4256953451360823,11.976183035621323,14,0.4220575811226434,2.3736086255300246,5.908806135717008,11,0.023799172910061686,1.0416079474362785,0.26179090201067856,3,3,True,0.023799172910061686
vwap_scalp__long,134,0.1608555910972457,1.4154042587652442,9.723130094449074,87,0.011220533190221819,1.0263664262398664,0.9761863875492982,45,0.4306637471617025,2.307716628670301,19.379868622276614,2,0.5992970986025036,27.693016716131304,1.1985941972050072,3,3,True,0.011220533190221819
open_drive__long,116,0.24008347963916607,1.7290816295509188,6.753407441046068,81,0.23987974773806528,1.6775871085383955,19.43025956678329,35,0.24055497346742785,1.8841477630956114,8.419424071359975,0,,,0.0,2,2,False,0.23987974773806528
trend__short,210,0.04343401749278166,1.0968869466781916,15.396467863021401,147,0.030546638663599208,1.0670241059023766,4.490355883549084,47,0.09976116837594033,1.2487720992483478,4.688774913669196,16,-0.003624195233383337,0.993012191037221,-0.057987123734133394,2,3,False,-0.003624195233383337
pd_rev__short,39,0.11885336934247366,1.2468217116470617,7.296550967678676,30,-0.024288794699715486,0.9533865968900577,-0.7286638409914645,5,0.18665449185927674,1.441189745230613,0.9332724592963837,4,1.107668196512888,5.291390803822234,4.430672786051552,2,3,False,-0.024288794699715486
ema_rev__long,83,0.13834775599570892,1.3314707479474563,6.158970201797338,55,0.17582266696720858,1.4388900006699163,9.670246683196472,26,0.07424435306685016,1.1667287102205603,1.9303531797381044,2,-0.0588680576453669,0.8857969230432134,-0.1177361152907338,2,3,False,-0.0588680576453669
trend__long,113,0.13158757714340671,1.3367197646873348,8.34587275207182,67,0.2000840584378448,1.5323909471231316,13.4056319153356,37,0.05869367170404159,1.1469415271737422,2.171665853049539,9,-0.07865572790890875,0.8314676818347663,-0.7079015511801787,2,3,False,-0.07865572790890875
ou_lunch__short,141,0.11741716053151391,1.2984291811778406,10.392872172404338,97,0.17914799405467194,1.4775432373494863,17.37735542330318,27,-0.12212817895625444,0.7194212111602966,-3.29746083181887,17,0.14564264961524429,1.337543939226036,2.475925043459153,2,3,False,-0.12212817895625444
vwap_rev__short,92,0.058930743873761876,1.1222714080489393,8.624729048534675,68,0.1505639009765921,1.3239678976805107,10.238345266408263,14,-0.13651964721425366,0.7016978670670756,-1.9112750609995512,10,-0.29054417690226186,0.5410619557868109,-2.9054417690226186,1,3,False,-0.29054417690226186
sweep__long,45,-0.013551934028761413,0.9707388935506776,11.609767902618803,29,-0.17011546013113418,0.6840400035780618,-4.9333483438028916,13,0.416460832626845,2.7153498375205354,5.413990824148986,3,-0.36349317054678604,0.47349719139693686,-1.090479511640358,1,3,False,-0.36349317054678604
ema_rev__short,78,0.05909591039045896,1.1361104631713195,9.077880584955038,46,0.11755772133627174,1.2841309146595057,5.4076551814685,18,-0.37688894426743463,0.360047888868042,-6.784000996813823,14,0.4275590589857944,2.414194736244075,5.985826825801121,2,3,False,-0.37688894426743463
pd_rev__long,57,0.3985247095887775,2.3484613203313303,8.35818669292788,35,0.7114658651751974,5.726050209609411,24.901305281131908,18,-0.4328564699272992,0.32698318864334397,-7.791416458691386,4,1.4015049060299494,1e+99,5.6060196241197975,2,3,False,-0.4328564699272992
sweep__short,16,-0.041260426237289066,0.9099078261297507,4.511792366520284,12,0.20436384046903436,1.5817981542270931,2.4523660856284124,3,-1.0288983055327414,0.0,-3.0866949165982245,1,-0.0258379888268135,0.0,-0.0258379888268135,1,3,False,-1.0288983055327414
