sample,entry_model,vol_floor_k,target_r,trades,widened_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_structural_risk_price,median_commission_R
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,0.5,12,66.66666666666666,-0.24999999999999356,0.5000000000000109,-0.3259948403176331,0.40412025049786976,-0.36399226047645267,0.36211359590926384,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,1.0,12,66.66666666666666,-0.16666666666665422,0.7142857142857347,-0.24266150698429367,0.6168969696580734,-0.28065892714311336,0.5737576487668743,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,1.5,12,66.66666666666666,0.04166666666666838,1.0714285714285745,-0.03432817365097113,0.9458042294584358,-0.07232559380979077,0.8901576676230317,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,2.0,12,66.66666666666666,0.24999999999999403,1.42857142857142,0.17400515968235453,1.274711489258803,0.13600773952353487,1.2065576864791938,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,2.5,12,66.66666666666666,0.16666666666666521,1.2499999999999984,0.09067182634902575,1.1255603102509637,0.05267440619020606,1.0702444241922513,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.25,3.0,12,66.66666666666666,0.33333333333334997,1.5000000000000266,0.2573384930157105,1.3563565698808189,0.21934107285689086,1.2925042440707701,3.2580799057234735,1.9440977076433228,0.06765099355023715
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,0.5,12,91.66666666666666,0.12499999999999495,1.4999999999999618,0.07929792292506069,1.2961085274827027,0.056446884387593564,1.2040000836379807,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,1.0,12,91.66666666666666,0.33333333333331766,1.9999999999999263,0.28763125625838337,1.8122212898684897,0.26478021772091626,1.7263663509788494,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,1.5,12,91.66666666666666,0.45833333333332016,2.099999999999937,0.41263125625838587,1.9359879988108768,0.3897802177209188,1.8605499127555216,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,2.0,12,91.66666666666666,0.7499999999999747,2.799999999999888,0.7042979229250405,2.597587176072944,0.6814468843875733,2.5044864522270918,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,2.5,12,91.66666666666666,0.4930400146062661,1.9860800292125134,0.44733793753133194,1.845758160857919,0.42448689899386477,1.7811983302070946,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,3.0,12,91.66666666666666,0.6597066812729334,2.3194133625458413,0.6140046041979992,2.1608660058446807,0.5911535656605321,2.0879209216693693,5.825862141893399,1.9440977076433228,0.037859156769484474
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.75,0.5,12,91.66666666666666,0.1615497051801691,1.7568492951322983,0.13008310622970456,1.5773334964983488,0.11434980675447233,1.494484592437075,8.206633243838741,1.9440977076433228,0.02681087596611545
