year,scenario,n,mean,sum,t_stat,win_rate,pf,max_dd_points
2022,PRIMARY,71,-2.6161971830985915,-185.75,-0.5312091524737608,0.43661971830985913,0.8405237175359519,476.75
2022,STRESS,71,-4.616197183098592,-327.75,-0.9373017481737558,0.43661971830985913,0.7366941152841936,588.75
2023,PRIMARY,62,-8.060483870967742,-499.75,-2.1107556100713705,0.3870967741935484,0.4907006369426752,530.25
2023,STRESS,62,-10.060483870967742,-623.75,-2.634484865997033,0.3709677419354839,0.41086186540731995,642.25
2024,PRIMARY,77,-3.116883116883117,-240.0,-0.6314423998537573,0.42857142857142855,0.797724399494311,301.25
2024,STRESS,77,-5.116883116883117,-394.0,-1.036617939759918,0.4155844155844156,0.69128305582762,425.25
