landmark_i,side,eidx,pidx,iou,center_err_vseg,lo_err_vseg,hi_err_vseg,score_exact,score_proxy,score_abs_err
1440,1,0,0,0.9120208569607382,0.02272727272673248,0.1068933018566101,0.02979631527440401,0.7492527938503616,0.7612924040399363,0.012039610189574668
1440,1,1,1,0.9689174979348805,0.06818181818123095,0.02523741862680602,0.020731366372602505,0.3005438422389329,0.30004747530995046,0.0004963669289824169
1440,1,2,2,0.9966327466953965,0.06818181818226447,0.0156215135017503,0.028937130484374855,0.6793052729240449,0.6803844250756967,0.0010791521516518854
1440,1,3,3,0.9909115888033916,0.0,0.002364582622827621,0.008067449755343568,0.029605576981808,0.029586615527288574,1.8961454519426935e-05
1440,1,4,4,0.9953769454964911,0.0,0.0054986131265808876,0.01816389253380151,0.0026605766086035105,0.0026707991537536935,1.0222545150183077e-05
1440,1,5,5,0.976933321510818,0.0,0.015953768978635218,0.020953016282664858,0.00021375252860135295,0.00021493552496738873,1.1829963660357822e-06
1455,-1,6,6,0.9934840488347858,0.04545454545449848,0.014972398956944376,0.00025993357439798686,0.8188715321732933,0.8065568313993864,0.01231470077390695
1455,1,7,7,0.9065759432341121,0.02272727272673248,0.117482883100888,0.029303744064563618,0.8419385075513603,0.8462111042151526,0.004272596663792205
1455,1,8,8,0.9647360694821077,0.06818181818226447,0.0273159925468842,0.02340444262100018,0.47993985679748485,0.483910839001473,0.0039709822039881715
1455,1,9,9,0.997370521137898,0.04545454545449848,0.009946507445460245,0.024582248074070622,0.7703114985410611,0.7750604577044367,0.004748959163375588
1455,1,10,10,0.9909115888033916,0.0,0.002364582622827621,0.008067449755343568,0.08308259347435812,0.08304722063390771,3.537284045040945e-05
1455,1,11,11,0.9953769454964911,0.0,0.0054986131265808876,0.01816389253380151,0.009993558590051453,0.010023608155869527,3.0049565818073692e-05
1455,1,12,12,0.976933321510818,0.0,0.015953768978635218,0.020953016282664858,0.0011216768448858788,0.0011264524037266817,4.775558840802892e-06
1470,-1,13,13,0.991374318517437,0.04545454545449848,0.015806019263724033,0.0038029683764757294,0.7275537663004108,0.7110872535276558,0.016466512772755015
