date,direction,prior_close,signal_px,entry,exit,gross_return,net_return,scenario,asset,gross_points,net_points,net_usd
2000-01-04 00:00:00,short,80.6578,79.2479,76.8803,75.6034,0.016608936229437377,0.016408936229437378,PRIMARY,QQQ,,,
2000-01-05 00:00:00,short,75.6034,72.5708,75.63,74.4329,0.015828374983472115,0.015628374983472117,PRIMARY,QQQ,,,
2000-01-06 00:00:00,short,74.4329,73.3688,71.6663,71.1342,0.007424689149572394,0.007224689149572395,PRIMARY,QQQ,,,
2000-01-07 00:00:00,long,71.1342,71.4003,73.8743,75.2842,0.019085121618749534,0.018885121618749535,PRIMARY,QQQ,,,
2000-01-10 00:00:00,long,75.2842,77.8912,79.7001,78.7159,-0.012348792536019393,-0.012548792536019393,PRIMARY,QQQ,,,
2000-01-11 00:00:00,long,78.7159,78.8755,76.1355,75.1512,-0.012928266051972948,-0.013128266051972948,PRIMARY,QQQ,,,
2000-01-12 00:00:00,short,75.1512,73.9541,73.6082,74.1137,-0.00686744139919182,-0.00706744139919182,PRIMARY,QQQ,,,
2000-01-13 00:00:00,long,74.1137,74.9916,76.3483,76.7207,0.004877646260623925,0.004677646260623925,PRIMARY,QQQ,,,
2000-01-14 00:00:00,long,76.7207,78.7425,78.9553,78.7425,-0.002695195889319546,-0.002895195889319546,PRIMARY,QQQ,,,
2000-01-18 00:00:00,short,78.7425,78.7292,80.0726,79.913,0.0019931911790049828,0.0017931911790049827,PRIMARY,QQQ,,,
2000-01-19 00:00:00,short,79.913,79.4607,80.2056,80.6578,-0.005638010313494313,-0.005838010313494312,PRIMARY,QQQ,,,
2000-01-20 00:00:00,long,80.6578,81.7086,81.8017,81.549,-0.003089177853271896,-0.003289177853271896,PRIMARY,QQQ,,,
2000-01-21 00:00:00,long,81.549,81.9214,81.5091,81.7751,0.003263439296961934,0.003063439296961934,PRIMARY,QQQ,,,
2000-01-24 00:00:00,long,81.7751,82.3604,78.3168,77.9444,-0.004755046171447286,-0.0049550461714472855,PRIMARY,QQQ,,,
2000-01-25 00:00:00,short,77.9444,77.4656,78.9553,79.7001,-0.009433185612618855,-0.009633185612618856,PRIMARY,QQQ,,,
2000-01-26 00:00:00,short,79.7001,79.2346,77.6784,77.0665,0.007877350717831355,0.0076773507178313554,PRIMARY,QQQ,,,
2000-01-27 00:00:00,long,77.0665,77.9976,75.4837,76.5877,0.014625674152167978,0.014425674152167977,PRIMARY,QQQ,,,
2000-01-28 00:00:00,long,76.5877,76.6276,73.2092,73.3156,0.001453369248673786,0.0012533692486737858,PRIMARY,QQQ,,,
2000-01-31 00:00:00,short,73.3156,72.9432,75.1246,75.763,-0.0084978821850632,-0.0086978821850632,PRIMARY,QQQ,,,
2000-02-01 00:00:00,long,75.763,76.1088,77.9444,78.4498,0.006484109185521891,0.006284109185521892,PRIMARY,QQQ,,,
2000-02-02 00:00:00,long,78.4498,78.8489,80.179,79.1149,-0.013271554895920357,-0.013471554895920357,PRIMARY,QQQ,,,
2000-02-03 00:00:00,long,79.1149,80.5514,81.8283,81.8283,0.0,-0.0002,PRIMARY,QQQ,,,
2000-02-04 00:00:00,long,81.8283,83.2116,82.4934,82.3604,-0.0016122501921365107,-0.0018122501921365108,PRIMARY,QQQ,,,
2000-02-07 00:00:00,short,82.3604,82.0943,82.8658,83.6373,-0.009310234137605677,-0.009510234137605678,PRIMARY,QQQ,,,
2000-02-08 00:00:00,long,83.6373,85.2068,85.7122,86.3241,0.007139007049171697,0.006939007049171698,PRIMARY,QQQ,,,
2000-02-10 00:00:00,short,84.5949,84.3555,85.659,86.8561,-0.013975180658191144,-0.014175180658191145,PRIMARY,QQQ,,,
