models,model_count,n,tpd,primary_mean,primary_pf,stress_mean,stress_pf,stress_dd,remove_best10_mean,risk_pct,risk_dollars_10k,stress_r_per_day,step1_days,step2_days
ema_rev+open_drive+pd_rev,3,251,0.33646112600536193,0.27147811034105523,1.7774034454443524,0.2554027789092635,1.7148901103813095,7.053686715631207,0.06193369852290352,0.7561057852930282,75.61057852930281,0.0859331065767093,153.90648748398792,76.95324374199396
kalman_mom+open_drive+pd_rev,3,402,0.5388739946380697,0.23776538592768978,1.646059241188276,0.22043715803153846,1.584097882855932,10.652990558562642,0.00582382965187752,0.500641890557813,50.0641890557813,0.11878785191511859,168.15151528775763,84.07575764387882
ema_rev+kalman_mom+open_drive+pd_rev,4,499,0.6689008042895442,0.23064375572967344,1.6186521325313723,0.21358383808722362,1.5590733438564353,13.725567875295084,0.005387808085815053,0.38856922946939804,38.856922946939804,0.14286640107979168,180.13640416268973,90.06820208134486
ema_rev+open_drive+pd_rev+vwap_rev,4,435,0.5831099195710456,0.23688711608754112,1.6209769707406112,0.21999095303552452,1.5638912982867248,12.342493345718218,0.01893881760782776,0.4321115016183939,43.21115016183939,0.12827890693090235,180.405146698726,90.202573349363
ema_rev+pd_rev+vwap_rev,3,351,0.47050938337801607,0.2263702315551385,1.575890622275086,0.20931762127323386,1.521082985935579,10.317482041150415,0.005568339519979078,0.5169219885299319,51.692198852993194,0.09848590491542236,196.42687797579103,98.21343898789551
open_drive+pd_rev+vwap_rev,3,338,0.45308310991957107,0.24714895423640423,1.653384148383545,0.22998067128286107,1.5943537959401597,11.570297020955799,0.029145000567895193,0.46095042535846303,46.095042535846304,0.10420035776622928,208.1980079469854,104.0990039734927
pd_rev+vwap_rev,2,254,0.34048257372654156,0.23600945791211753,1.6001794557403979,0.2185349897246416,1.5437914505599606,10.141761941036252,0.01427165658292308,0.5258783793527292,52.58783793527292,0.07440735575074929,255.56349164110006,127.78174582055003
open_drive+pd_rev+vwap_scalp,3,327,0.4383378016085791,0.19920503947131887,1.5768432032628985,0.18211874530241917,1.5137604216726301,10.887869047490431,0.00046453783724224564,0.489841796413103,48.9841796413103,0.07982953044757517,255.72935666270928,127.86467833135464
