scenario,target_r,N,mean_net_R,sum_net_R,pf_net,TP_pct,SL_pct,TIME_pct,same_bar_ambiguity_pct,date_cluster_ci95_lower,date_cluster_ci95_upper
S10_C6,0.5,498,-0.09471914099777146,-47.17013221689019,0.7459431444201535,59.63855421686747,34.53815261044177,5.8232931726907635,1.2048192771084338,-0.15741656683197666,-0.033353911317906035
S10_C6,1.0,498,-0.08825916090541021,-43.95306213089428,0.8249962751863922,41.566265060240966,46.58634538152611,11.847389558232932,0.6024096385542169,-0.16964731609206782,-0.004814837763473523
S10_C6,1.5,498,-0.06503395098730957,-32.38690759168017,0.8845329324286382,30.923694779116467,52.00803212851406,17.06827309236948,0.4016064257028112,-0.16163243543535186,0.03268456595383494
S10_C6,2.0,498,-0.04614154790154724,-22.978490854970524,0.9220522177676552,23.09236947791165,54.61847389558233,22.289156626506024,0.4016064257028112,-0.1535559620583344,0.0637952084197171
S10_C6,2.5,498,-0.039295913715803495,-19.56936503047014,0.9359118402405103,18.27309236947791,56.62650602409639,25.100401606425706,0.2008032128514056,-0.15660797388080983,0.08131981478188119
S10_C6,3.0,498,-0.021451471674608476,-10.682832893955021,0.965414080412394,13.654618473895583,57.22891566265061,29.116465863453815,0.2008032128514056,-0.1464878992294252,0.10638661603379757
S11_C6_PRIMARY,0.5,498,-0.09721664447763875,-48.4138889498641,0.7406470401431238,59.43775100401606,34.738955823293175,5.8232931726907635,1.0040160642570282,-0.1596934796383862,-0.035480900623213
S11_C6_PRIMARY,1.0,498,-0.0961399058841314,-47.87767313029744,0.8109914992392476,41.164658634538156,46.98795180722892,11.847389558232932,0.6024096385542169,-0.17748818544556044,-0.012778723794312658
S11_C6_PRIMARY,1.5,498,-0.06717641598232502,-33.45385515919786,0.8806496445561894,30.72289156626506,52.00803212851406,17.269076305220885,0.4016064257028112,-0.16366922478881804,0.030539483710765824
S11_C6_PRIMARY,2.0,498,-0.04732895076305328,-23.569817480000534,0.9199986783748328,23.09236947791165,54.61847389558233,22.289156626506024,0.4016064257028112,-0.15452810345323031,0.0625293491176239
S11_C6_PRIMARY,2.5,498,-0.04169791010601546,-20.7655592327957,0.93195580498627,17.8714859437751,56.62650602409639,25.502008032128515,0.2008032128514056,-0.15881266585888412,0.07873876640596301
S11_C6_PRIMARY,3.0,498,-0.024074746960422954,-11.98922398629063,0.9611632641947241,13.654618473895583,57.22891566265061,29.116465863453815,0.2008032128514056,-0.1489258231004327,0.103283562480043
S12_C6,0.5,498,-0.10602281672028205,-52.79936272670046,0.7212768332245464,58.63453815261044,35.140562248995984,6.2248995983935735,1.0040160642570282,-0.16818146452599603,-0.044400749529221746
S12_C6,1.0,498,-0.11942859259357085,-59.475439111598284,0.770641775599629,39.959839357429715,47.99196787148594,12.048192771084338,0.4016064257028112,-0.20132330697878184,-0.03609703259806205
S12_C6,1.5,498,-0.08717801185459917,-43.41464990359039,0.8471632145236789,29.919678714859437,52.610441767068274,17.46987951807229,0.4016064257028112,-0.1832608729685922,0.009707745805725285
S12_C6,2.0,498,-0.051556706146990386,-25.67523966120121,0.9127057617168092,22.89156626506024,54.41767068273092,22.690763052208833,0.4016064257028112,-0.15739633828983632,0.05715404791257779
S12_C6,2.5,498,-0.044218000580016195,-22.020564288848064,0.9277266621169123,17.670682730923694,56.42570281124498,25.903614457831324,0.2008032128514056,-0.1605961479371311,0.07571140096160679
S12_C6,3.0,498,-0.034103567307427286,-16.98357651909879,0.945082194205911,13.453815261044177,57.22891566265061,29.31726907630522,0.2008032128514056,-0.15834437887710312,0.09299634660168421
S18_C9_STRESS,0.5,498,-0.1476969811243583,-73.55309659993044,0.6344942129868815,56.42570281124498,36.74698795180723,6.827309236947792,0.4016064257028112,-0.21004596399373004,-0.08630449847663091
S18_C9_STRESS,1.0,498,-0.12542817428118244,-62.46323079202885,0.7580912935670514,39.75903614457831,46.98795180722892,13.253012048192772,0.0,-0.20626350920084827,-0.043454816694069594
S18_C9_STRESS,1.5,498,-0.0867382083799504,-43.1956277732153,0.8464587892082382,29.518072289156628,51.204819277108435,19.27710843373494,0.0,-0.18223309015010272,0.009597133024385474
S18_C9_STRESS,2.0,498,-0.07741430262065861,-38.55232270508799,0.8696505855572355,22.08835341365462,53.6144578313253,24.29718875502008,0.0,-0.18239655060033075,0.03162688639157284
S18_C9_STRESS,2.5,498,-0.05174546351613488,-25.769240831035173,0.914707190610403,16.666666666666664,54.81927710843374,28.514056224899598,0.0,-0.1666312141778226,0.06588083965635
S18_C9_STRESS,3.0,498,-0.047796479537310754,-23.802646809580757,0.922506311904433,12.851405622489958,55.62248995983936,31.52610441767068,0.0,-0.16971452894067113,0.0757236692269991
