target_r,primary_positive_years,primary_max_abs_annual_share,primary_all_15_loo_positive,stress_positive_years,stress_max_abs_annual_share,temporal_rr_pass
0.5,4,0.16075119218165937,False,2,0.1527731087322385,False
1.0,2,0.12288409595544318,False,2,0.15503173159311426,False
1.5,3,0.19244097688804684,False,4,0.15831917698700063,False
2.0,6,0.16761995559546478,False,5,0.16555751294393714,False
2.5,5,0.1918125594190093,False,5,0.19475015491945474,False
3.0,7,0.17031258306610952,False,5,0.1329091427658112,False
