scenario,N,surface_mean_net_R,date_equal_weight_surface_mean_net_R_diagnostic,date_cluster_ci95_lower,date_cluster_ci95_upper,draws,seed
S11_C6_PRIMARY,498,-0.062272429028931146,-0.06395458227972983,-0.15157992195684347,0.029720028866735682,20000,20260821
S18_C9_STRESS,498,-0.08946993490993257,-0.08696584552643397,-0.17848085757949145,0.0019203970221044297,20000,20260821
