event_id,source_year,doz_zone_id,objective_zone_id,anchor_zone_id,anchor_family,anchor_variant,partner_zone_id,partner_family,partner_variant,doz_contact_time,objective_contact_time,confluence_time,confirm_time,entry_time,confluence_idx,confirm_idx,entry_idx,direction,anchor_side,anchor_lower,anchor_upper,pair_lower,pair_upper,direct_overlap,doz_origin_time,doz_known_time,doz_source_tf,doz_variant,objective_origin_time,objective_known_time,objective_source_tf,objective_variant,doz_activation_session,objective_activation_session,entry_session,timing_integrity_pass
c2b51521018017814ed9b890,2014,DOZ_BASE_00002234,NY_AM_L_00002575,NY_AM_L_00002575,OBJECTIVE_LIQUIDITY,NY_AM_LOW,DOZ_BASE_00002234,DISPLACEMENT_ORIGIN,DOZ_BASE,2014-01-06T15:14:00+00:00,2014-01-06T15:14:00+00:00,2014-01-06T15:14:00+00:00,2014-01-06T15:14:00+00:00,2014-01-06T15:15:00+00:00,533714,533714,533715,LONG,SUPPORT,1215.3195,1216.7395000000001,1215.3195,1216.7395000000001,1.0,2014-01-02T13:15:00+00:00,2014-01-02T14:00:00+00:00,15min,DOZ_BASE,2014-01-02T16:59:00+00:00,2014-01-02T17:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,NY_AM,True
c9a59dd6f93422e9fa116aff,2014,DOZ_BASE_00007922,ASIA_CME_L_00002631,ASIA_CME_L_00002631,OBJECTIVE_LIQUIDITY,ASIA_CME_LOW,DOZ_BASE_00007922,DISPLACEMENT_ORIGIN,DOZ_BASE,2014-01-10T13:28:00+00:00,2014-01-10T13:28:00+00:00,2014-01-10T13:28:00+00:00,2014-01-10T13:28:00+00:00,2014-01-10T13:29:00+00:00,539368,539368,539369,LONG,SUPPORT,1226.8325,1228.2885,1227.5605,1228.2885,0.5,2014-01-10T01:00:00+00:00,2014-01-10T03:00:00+00:00,1h,DOZ_BASE,2014-01-10T07:59:00+00:00,2014-01-10T08:00:00+00:00,SESSION,ASIA_CME_LOW,ASIA_CME,LONDON,NY_AM,True
71237e63d8383f75ed7dec22,2014,DOZ_BODY_00002275,NY_PM_L_00002637,DOZ_BODY_00002275,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_PM_L_00002637,OBJECTIVE_LIQUIDITY,NY_PM_LOW,2014-01-13T13:17:00+00:00,2014-01-13T13:17:00+00:00,2014-01-13T13:17:00+00:00,2014-01-13T13:17:00+00:00,2014-01-13T13:18:00+00:00,543677,543677,543678,LONG,SUPPORT,1243.752,1244.2945,1243.752,1244.2224999999999,0.8672811059905733,2014-01-10T17:15:00+00:00,2014-01-10T18:15:00+00:00,15min,DOZ_BODY,2014-01-10T20:59:00+00:00,2014-01-10T21:00:00+00:00,SESSION,NY_PM_LOW,NY_PM,TRANSITION,NY_AM,True
6b4a9ec64f330de6986bec1e,2014,DOZ_LAST_00005880,LONDON_H_00002652,LONDON_H_00002652,OBJECTIVE_LIQUIDITY,LONDON_HIGH,DOZ_LAST_00005880,DISPLACEMENT_ORIGIN,DOZ_LAST,2014-01-14T14:54:00+00:00,2014-01-14T14:55:00+00:00,2014-01-14T14:55:00+00:00,2014-01-14T14:55:00+00:00,2014-01-14T14:56:00+00:00,545215,545215,545216,SHORT,RESISTANCE,1253.4245000000003,1254.5204999999999,1253.4245000000003,1253.9725,0.5,2014-01-14T08:00:00+00:00,2014-01-14T09:00:00+00:00,30min,DOZ_LAST,2014-01-14T12:59:00+00:00,2014-01-14T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,NY_AM,True
2f9c0a75bc531c496a0aa919,2014,DOZ_BASE_00002414,LONDON_H_00002778,DOZ_BASE_00002414,DISPLACEMENT_ORIGIN,DOZ_BASE,LONDON_H_00002778,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2014-01-31T13:15:00+00:00,2014-01-31T13:13:00+00:00,2014-01-31T13:15:00+00:00,2014-01-31T13:15:00+00:00,2014-01-31T13:16:00+00:00,569595,569595,569596,LONG,SUPPORT,1247.3995,1250.4565,1249.7564999999997,1250.4565,0.5,2014-01-31T12:45:00+00:00,2014-01-31T13:15:00+00:00,15min,DOZ_BASE,2014-01-31T12:59:00+00:00,2014-01-31T13:00:00+00:00,SESSION,LONDON_HIGH,NY_AM,NY_AM,NY_AM,True
ffe9cb9d1c6836728319dac5,2014,DOZ_BODY_00005953,NY_AM_H_00002770,DOZ_BODY_00005953,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_AM_H_00002770,OBJECTIVE_LIQUIDITY,NY_AM_HIGH,2014-01-31T13:36:00+00:00,2014-01-31T13:36:00+00:00,2014-01-31T13:36:00+00:00,2014-01-31T13:37:00+00:00,2014-01-31T13:38:00+00:00,569616,569617,569618,SHORT,RESISTANCE,1254.5955,1255.6065,1254.5955,1255.6065,1.0,2014-01-30T12:00:00+00:00,2014-01-30T13:30:00+00:00,30min,DOZ_BODY,2014-01-30T16:59:00+00:00,2014-01-30T17:00:00+00:00,SESSION,NY_AM_HIGH,NY_AM,NY_PM,NY_AM,True
30e7c068b37e60158757cd86,2014,DOZ_BODY_00002419,ASIA_CME_H_00002788,DOZ_BODY_00002419,DISPLACEMENT_ORIGIN,DOZ_BODY,ASIA_CME_H_00002788,OBJECTIVE_LIQUIDITY,ASIA_CME_HIGH,2014-02-03T10:02:00+00:00,2014-02-03T10:02:00+00:00,2014-02-03T10:02:00+00:00,2014-02-03T10:05:00+00:00,2014-02-03T10:06:00+00:00,573722,573725,573726,SHORT,RESISTANCE,1246.1145,1247.2275,1246.6019999999999,1247.2275,0.5619946091644835,2014-02-03T06:30:00+00:00,2014-02-03T07:45:00+00:00,15min,DOZ_BODY,2014-02-03T07:59:00+00:00,2014-02-03T08:00:00+00:00,SESSION,ASIA_CME_HIGH,ASIA_CME,LONDON,LONDON,True
8b5cd7ef6e18c4184c92e38a,2014,DOZ_BODY_00002629,NY_AM_L_00002993,DOZ_BODY_00002629,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_AM_L_00002993,OBJECTIVE_LIQUIDITY,NY_AM_LOW,2014-03-04T06:09:00+00:00,2014-03-04T06:09:00+00:00,2014-03-04T06:09:00+00:00,2014-03-04T06:09:00+00:00,2014-03-04T06:10:00+00:00,615249,615249,615250,LONG,SUPPORT,1344.29,1344.61,1344.29,1344.61,1.0,2014-03-03T12:45:00+00:00,2014-03-03T13:45:00+00:00,15min,DOZ_BODY,2014-03-03T16:59:00+00:00,2014-03-03T17:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,ASIA_CME,True
c5ca3d99f77e6a5cf59dcf3f,2014,DOZ_BASE_00002708,ASIA_CME_L_00003069,ASIA_CME_L_00003069,OBJECTIVE_LIQUIDITY,ASIA_CME_LOW,DOZ_BASE_00002708,DISPLACEMENT_ORIGIN,DOZ_BASE,2014-03-13T12:31:00+00:00,2014-03-13T12:32:00+00:00,2014-03-13T12:32:00+00:00,2014-03-13T12:32:00+00:00,2014-03-13T12:33:00+00:00,628592,628592,628593,LONG,SUPPORT,1364.4339999999997,1365.6340000000005,1365.034,1365.6340000000005,0.5,2014-03-13T00:45:00+00:00,2014-03-13T01:15:00+00:00,15min,DOZ_BASE,2014-03-13T06:59:00+00:00,2014-03-13T07:00:00+00:00,SESSION,ASIA_CME_LOW,ASIA_CME,LONDON,NY_AM,True
ec1bec27ac977bca65d02c62,2014,DOZ_BODY_00006136,PDL_00000641,DOZ_BODY_00006136,DISPLACEMENT_ORIGIN,DOZ_BODY,PDL_00000641,OBJECTIVE_LIQUIDITY,PDL,2014-03-23T23:00:00+00:00,2014-03-23T23:00:00+00:00,2014-03-23T23:00:00+00:00,2014-03-23T23:07:00+00:00,2014-03-23T23:08:00+00:00,643620,643627,643628,LONG,SUPPORT,1329.4645,1331.045,1329.4645,1331.045,1.0,2014-03-21T08:00:00+00:00,2014-03-21T08:30:00+00:00,30min,DOZ_BODY,2014-03-21T20:59:00+00:00,2014-03-23T22:00:00+00:00,D1,PDL,LONDON,ASIA_CME,ASIA_CME,True
