scenario,target_r,trades,age_hours_min,age_hours_q25,age_hours_median,age_hours_q75,age_hours_max,spearman_age_vs_net_R
S10_C6,0.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04436184813801975
S10_C6,1.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04336064051675031
S10_C6,1.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.07330482126985782
S10_C6,2.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.09366179969846802
S10_C6,2.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04203704724101094
S10_C6,3.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.03410811588904697
S11_C6_PRIMARY,0.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04407588034687645
S11_C6_PRIMARY,1.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.035933379969632646
S11_C6_PRIMARY,1.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.07587917209468333
S11_C6_PRIMARY,2.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.08505244112148796
S11_C6_PRIMARY,2.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.03919851288236866
S11_C6_PRIMARY,3.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.03317268736667445
S12_C6,0.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04484418708075167
S12_C6,1.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.03204302202828361
S12_C6,1.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.0673083535478187
S12_C6,2.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.08183205598250894
S12_C6,2.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.040345801015287654
S12_C6,3.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.034372513265918475
S18_C9_STRESS,0.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.06335148307119064
S18_C9_STRESS,1.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.04940056745087336
S18_C9_STRESS,1.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.0831311910741966
S18_C9_STRESS,2.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.07707248429260206
S18_C9_STRESS,2.5,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.05463009354733415
S18_C9_STRESS,3.0,304,-0.0333333333333333,10.279166666666667,40.108333333333334,190.53749999999997,8204.0,0.0667582091071908
