scenario,target_r,trades,sum_net_R,max_drawdown_R,longest_losing_streak,ambiguous_same_bar_pct,min_risk_price,median_risk_price
S10_C6,0.5,304,37.92411452645746,5.708150077430449,5,0.3289473684210526,0.4224999999998999,1.7401153981318203
S10_C6,1.0,304,83.1403772805109,8.109012321251477,7,0.0,0.4224999999998999,1.7401153981318203
S10_C6,1.5,304,87.03910765450024,8.714266600320649,7,0.0,0.4224999999998999,1.7401153981318203
S10_C6,2.0,304,91.14734468519107,14.275885628333882,7,0.0,0.4224999999998999,1.7401153981318203
S10_C6,2.5,304,86.80524183618209,17.670528192811375,10,0.0,0.4224999999998999,1.7401153981318203
S10_C6,3.0,304,96.72838547723484,16.28138432135438,10,0.0,0.4224999999998999,1.7401153981318203
S11_C6_PRIMARY,0.5,304,36.61101157696482,5.681384672567763,5,0.3289473684210526,0.4474999999999909,1.754871944447359
S11_C6_PRIMARY,1.0,304,78.32935323621666,8.086396260265516,7,0.0,0.4474999999999909,1.754871944447359
S11_C6_PRIMARY,1.5,304,85.09512295870805,8.698471111766068,7,0.0,0.4474999999999909,1.754871944447359
S11_C6_PRIMARY,2.0,304,87.70102810412337,17.326173557499857,10,0.0,0.4474999999999909,1.754871944447359
S11_C6_PRIMARY,2.5,304,81.01989462292994,17.72113848349975,10,0.0,0.4474999999999909,1.754871944447359
S11_C6_PRIMARY,3.0,304,94.17582818291154,16.34131144371264,10,0.0,0.4474999999999909,1.754871944447359
S12_C6,0.5,304,35.29764029544434,5.655465301323833,5,0.3289473684210526,0.4724999999998545,1.7704079426631552
S12_C6,1.0,304,73.00132311313638,8.560282805102919,7,0.0,0.4724999999998545,1.7704079426631552
S12_C6,1.5,304,81.68817646639445,11.18444136742017,7,0.0,0.4724999999998545,1.7704079426631552
S12_C6,2.0,304,80.81621211940069,17.383410253890204,10,0.0,0.4724999999998545,1.7704079426631552
S12_C6,2.5,304,80.28075275667516,17.778695497310622,10,0.0,0.4724999999998545,1.7704079426631552
S12_C6,3.0,304,93.18759851268265,16.408140757076907,10,0.0,0.4724999999998545,1.7704079426631552
S18_C9_STRESS,0.5,304,26.191581796122982,7.52440096159647,5,0.0,0.6224999999997181,1.8509999999997717
S18_C9_STRESS,1.0,304,48.49515125127519,10.980825336446411,7,0.0,0.6224999999997181,1.8509999999997717
S18_C9_STRESS,1.5,304,57.63998530094283,11.808132703771477,7,0.0,0.6224999999997181,1.8509999999997717
S18_C9_STRESS,2.0,304,64.08807228129788,17.271825170238074,10,0.0,0.6224999999997181,1.8509999999997717
S18_C9_STRESS,2.5,304,56.534844332920365,17.638655783369636,10,0.0,0.6224999999997181,1.8509999999997717
S18_C9_STRESS,3.0,304,63.15275383304757,19.179825291175995,10,0.0,0.6224999999997181,1.8509999999997717
