scenario,target_r,trades,mean_net_R,sum_net_R,pf_net,tp_pct,sl_pct,time_pct
S10_C6,0.5,304,0.12475037673176796,37.92411452645746,1.5513970754461095,75.98684210526315,20.394736842105264,3.618421052631579
S10_C6,1.0,304,0.27348808315957535,83.1403772805109,1.8248638072208347,61.8421052631579,30.263157894736842,7.894736842105263
S10_C6,1.5,304,0.28631285412664553,87.03910765450024,1.6622666702177997,46.71052631578947,39.80263157894737,13.486842105263158
S10_C6,2.0,304,0.29982679172760224,91.14734468519107,1.6288039633846265,33.55263157894737,43.75,22.697368421052634
S10_C6,2.5,304,0.2855435586716516,86.80524183618209,1.5538681478147622,25.657894736842106,47.368421052631575,26.973684210526315
S10_C6,3.0,304,0.3181854785435356,96.72838547723484,1.6011596796421457,21.052631578947366,48.68421052631579,30.263157894736842
S11_C6_PRIMARY,0.5,304,0.1204309591347527,36.61101157696482,1.524585484316686,75.6578947368421,20.723684210526315,3.618421052631579
S11_C6_PRIMARY,1.0,304,0.2576623461717653,78.32935323621666,1.7619744184197113,60.85526315789473,30.92105263157895,8.223684210526317
S11_C6_PRIMARY,1.5,304,0.2799181676273291,85.09512295870805,1.6470190652401826,46.05263157894737,39.80263157894737,14.144736842105262
S11_C6_PRIMARY,2.0,304,0.2884902240267216,87.70102810412337,1.600731314409226,33.223684210526315,44.07894736842105,22.697368421052634
S11_C6_PRIMARY,2.5,304,0.26651281125963794,81.01989462292994,1.5136959275100406,25.0,47.69736842105263,27.302631578947366
S11_C6_PRIMARY,3.0,304,0.30978890849641955,94.17582818291154,1.5855023614376371,20.723684210526315,48.68421052631579,30.592105263157894
S12_C6,0.5,304,0.11611065886659322,35.29764029544434,1.4986947081553723,75.32894736842105,21.052631578947366,3.618421052631579
S12_C6,1.0,304,0.24013593129321179,73.00132311313638,1.6962880772695443,59.210526315789465,31.57894736842105,9.210526315789473
S12_C6,1.5,304,0.26871110679735016,81.68817646639445,1.6165656972119975,45.39473684210527,40.131578947368425,14.473684210526317
S12_C6,2.0,304,0.2658428030243444,80.81621211940069,1.5457787564849372,32.23684210526316,44.73684210526316,23.026315789473685
S12_C6,2.5,304,0.2640814235416946,80.28075275667516,1.5091791671515773,25.0,47.69736842105263,27.302631578947366
S12_C6,3.0,304,0.3065381530022456,93.18759851268265,1.5795585679052284,20.723684210526315,48.68421052631579,30.592105263157894
S18_C9_STRESS,0.5,304,0.08615651906619402,26.191581796122982,1.3491630296410941,74.01315789473685,22.039473684210524,3.9473684210526314
S18_C9_STRESS,1.0,304,0.1595235238528789,48.49515125127519,1.4179407598939056,55.5921052631579,34.53947368421053,9.868421052631579
S18_C9_STRESS,1.5,304,0.189605214805733,57.63998530094283,1.4083898960633814,41.776315789473685,42.10526315789473,16.11842105263158
S18_C9_STRESS,2.0,304,0.21081602724111145,64.08807228129788,1.4225067495534738,30.592105263157894,45.06578947368421,24.342105263157894
S18_C9_STRESS,2.5,304,0.18596988267408016,56.534844332920365,1.3501904072326842,22.039473684210524,48.026315789473685,29.93421052631579
S18_C9_STRESS,3.0,304,0.20773932181923543,63.15275383304757,1.3785747563092292,18.092105263157894,49.67105263157895,32.23684210526316
