scenario,target_r,year,trades,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S10_C6,0.5,2011,16,0.1917265811144776,3.0676252978316416,1.9932561009665626,0.07093257159068554
S10_C6,0.5,2012,14,0.46674985530801855,6.534497974312259,inf,0.1510969236365753
S10_C6,0.5,2013,17,0.2456457456557186,4.175977676147216,2.6918982821568416,0.09656095732545816
S10_C6,0.5,2014,23,0.26168840903704105,6.018833407851944,3.2920930289381265,0.13917323341173557
S10_C6,0.5,2015,27,-0.035162855169374084,-0.9493970895731002,0.8951004039439772,0.02195286923462722
S10_C6,0.5,2016,22,0.04542202778150584,0.9992846111931286,1.1584398100020532,0.023106416312653946
S10_C6,0.5,2017,27,0.11136268559470243,3.0067925110569655,1.525332209043302,0.06952593760380138
S10_C6,0.5,2018,36,0.15392185110793058,5.541186639885501,1.7496403436127916,0.12812862715301548
S10_C6,0.5,2019,21,0.015087281799883799,0.3168329177975598,1.0503614457380543,0.007326114320365925
S10_C6,0.5,2020,15,0.18216796869408042,2.7325195304112064,2.007977413186309,0.06318393493196342
S10_C6,0.5,2021,18,0.0527208997498818,0.9489761954978724,1.1840236190625195,0.021943136918511467
S10_C6,0.5,2022,17,-0.06302500227053341,-1.071425038599068,0.8263843466567867,0.024774516401400597
S10_C6,0.5,2023,17,-0.03768537896789268,-0.6406514424541756,0.8870813758212542,0.014813756536262204
S10_C6,0.5,2024,17,0.2948380805067899,5.012247368615428,3.451588887705636,0.1158979864835016
S10_C6,0.5,2025,17,0.1312243509695929,2.2308139664830793,1.5475071804540554,0.05158301813944248
S10_C6,1.0,2011,16,0.4210477977316964,6.736764763707143,2.636290984133705,0.08102879712678812
S10_C6,1.0,2012,14,0.6810355695937396,9.534497974312353,5.630415180648768,0.11467951296568572
S10_C6,1.0,2013,17,0.3044692750674859,5.1759776761472605,1.9340588491542883,0.06225588390925634
S10_C6,1.0,2014,23,0.459193758173825,10.561456437997975,3.2531131237949586,0.12703161548526803
S10_C6,1.0,2015,27,0.037111432307968206,1.0020086723151416,1.0814650195212514,0.012052010167507671
S10_C6,1.0,2016,22,0.20581870306650513,4.528011467463113,1.5390800688800488,0.05446224344383065
S10_C6,1.0,2017,27,0.16463960740943348,4.445269400054704,1.4931729788717933,0.05346703425528871
S10_C6,1.0,2018,36,0.28519270918392636,10.266937530621348,1.9340522528899728,0.12348918619867799
S10_C6,1.0,2019,21,0.22271298942559017,4.676972777937394,1.6217223046864597,0.05625392776553747
S10_C6,1.0,2020,15,0.4155013020274088,6.232519530411132,2.6698967356229675,0.07496381101787601
S10_C6,1.0,2021,18,0.1916097886387758,3.4489761954979645,1.4780705946908734,0.041483768877561326
S10_C6,1.0,2022,17,0.025210291847106266,0.42857496140080653,1.0520080748592442,0.005154835417150187
S10_C6,1.0,2023,17,0.28584403279683185,4.8593485575461415,1.8564890627906938,0.05844751631509893
S10_C6,1.0,2024,17,0.14777925697737218,2.512247368615327,1.347710763450037,0.030216934909245676
