scenario,target_r,dimension,group,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,0.5,direction,LONG,154,0.19400076666692812,29.87611806670693,2.0693184366125053,81.16883116883116,13,15
S10_C6,0.5,direction,SHORT,150,0.05365330973167018,8.047996459750527,1.1970672777033229,70.66666666666667,7,15
S10_C6,0.5,contact_session,ASIA_CME,80,0.11275529933633262,9.02042394690661,1.4929575275835973,73.75,9,15
S10_C6,0.5,contact_session,LONDON,61,0.18469040243883972,11.266114548769222,1.9781549957675977,81.9672131147541,12,15
S10_C6,0.5,contact_session,NY_AM,116,0.1629688099687771,18.904381956378145,1.7900881610910149,80.17241379310344,11,15
S10_C6,0.5,contact_session,NY_PM,39,-0.005077471800493698,-0.19802140021925424,0.983918518942299,66.66666666666666,6,15
S10_C6,0.5,contact_session,TRANSITION,8,-0.13359806567215873,-1.0687845253772699,0.6072624665204048,37.5,4,6
S10_C6,0.5,confirmation_session,ASIA_CME,80,0.11275529933633262,9.02042394690661,1.4929575275835973,73.75,9,15
S10_C6,0.5,confirmation_session,LONDON,61,0.18469040243883972,11.266114548769222,1.9781549957675977,81.9672131147541,12,15
S10_C6,0.5,confirmation_session,NY_AM,116,0.1629688099687771,18.904381956378145,1.7900881610910149,80.17241379310344,11,15
S10_C6,0.5,confirmation_session,NY_PM,39,-0.005077471800493698,-0.19802140021925424,0.983918518942299,66.66666666666666,6,15
S10_C6,0.5,confirmation_session,TRANSITION,8,-0.13359806567215873,-1.0687845253772699,0.6072624665204048,37.5,4,6
S10_C6,0.5,entry_session,ASIA_CME,80,0.11275529933633262,9.02042394690661,1.4929575275835973,73.75,9,15
S10_C6,0.5,entry_session,LONDON,61,0.18469040243883972,11.266114548769222,1.9781549957675977,81.9672131147541,12,15
S10_C6,0.5,entry_session,NY_AM,116,0.1629688099687771,18.904381956378145,1.7900881610910149,80.17241379310344,11,15
S10_C6,0.5,entry_session,NY_PM,39,-0.005077471800493698,-0.19802140021925424,0.983918518942299,66.66666666666666,6,15
S10_C6,0.5,entry_session,TRANSITION,8,-0.13359806567215873,-1.0687845253772699,0.6072624665204048,37.5,4,6
S10_C6,0.5,exit_session,ASIA_CME,82,0.10261950010325122,8.4147990084666,1.4434438806101662,71.95121951219512,9,15
S10_C6,0.5,exit_session,LONDON,59,0.19594469614595125,11.560737072611124,2.1028115714984548,81.35593220338984,12,15
S10_C6,0.5,exit_session,NY_AM,116,0.1504351447966823,17.450476796415145,1.699090647917999,79.3103448275862,11,15
S10_C6,0.5,exit_session,NY_PM,42,0.0522020289390253,2.1924852154390626,1.1863256753883549,71.42857142857143,6,15
S10_C6,0.5,exit_session,TRANSITION,5,-0.33887671329489466,-1.6943835664744733,0.3459527496147436,40.0,2,4
S10_C6,0.5,doz_anchor_source_tf,15min,130,0.1208931190399111,15.716105475188442,1.530870325147208,76.15384615384615,10,15
S10_C6,0.5,doz_anchor_source_tf,1h,75,0.10861298518178529,8.145973888633897,1.4694518245716643,72.0,8,13
S10_C6,0.5,doz_anchor_source_tf,30min,99,0.14204075921853654,14.062035162635118,1.6444055432749685,78.78787878787878,11,15
S10_C6,0.5,doz_anchor_variant,DOZ_BASE,35,0.12440691332665839,4.354241966433044,1.5522897355303045,74.28571428571429,9,14
S10_C6,0.5,doz_anchor_variant,DOZ_BODY,205,0.13699660581162387,28.08430419138289,1.6288380159205678,77.5609756097561,12,15
S10_C6,0.5,doz_anchor_variant,DOZ_LAST,64,0.0857120057600238,5.485568368641523,1.3379141703334367,71.875,9,15
S10_C6,0.5,objective_anchor_variant,ASIA_CME_HIGH,20,-0.03729403500011947,-0.7458807000023894,0.8873135318446551,65.0,5,11
S10_C6,0.5,objective_anchor_variant,ASIA_CME_LOW,30,0.25283072895540903,7.584921868662271,2.7680494302771925,86.66666666666667,11,13
S10_C6,0.5,objective_anchor_variant,LONDON_HIGH,25,0.40381620024137704,10.095405006034426,10.733562532699866,96.0,10,11
S10_C6,0.5,objective_anchor_variant,LONDON_LOW,40,0.17622524448763383,7.0490097795053535,1.9275366940831282,80.0,10,15
S10_C6,0.5,objective_anchor_variant,NY_AM_HIGH,52,-0.02254367466040881,-1.172271082341258,0.9319018610044807,67.3076923076923,7,14
S10_C6,0.5,objective_anchor_variant,NY_AM_LOW,42,0.2499319566864987,10.497142180832945,2.6943407460660427,85.71428571428571,12,14
S10_C6,0.5,objective_anchor_variant,NY_PM_HIGH,25,-0.10759697927351335,-2.6899244818378336,0.7081111899892477,56.00000000000001,5,11
S10_C6,0.5,objective_anchor_variant,NY_PM_LOW,15,0.08082511092268939,1.2123766638403408,1.336409581205102,66.66666666666666,5,8
S10_C6,0.5,objective_anchor_variant,PDH,17,0.002687919811716951,0.04569463679918817,1.0087093582123638,64.70588235294117,6,10
S10_C6,0.5,objective_anchor_variant,PDL,16,0.08688613126224495,1.3901781001959193,1.3367838671238628,75.0,5,8
S10_C6,0.5,objective_anchor_variant,TRANSITION_HIGH,12,0.33111750473935075,3.973410056872209,4.928253393663129,91.66666666666666,7,8
S10_C6,0.5,objective_anchor_variant,TRANSITION_LOW,10,0.06840524978962836,0.6840524978962836,1.2613823715181398,70.0,5,8
S10_C6,0.5,doz_tradable_age_bucket,1-3d,73,0.15265218608874945,11.14360958447871,1.7160295557075964,79.45205479452055,13,15
S10_C6,0.5,doz_tradable_age_bucket,1-4h,14,0.24894590402919528,3.485242656408734,2.688358410380524,85.71428571428571,7,9
S10_C6,0.5,doz_tradable_age_bucket,12-24h,33,0.201649014194921,6.654417468432394,2.154073566253122,81.81818181818183,8,12
S10_C6,0.5,doz_tradable_age_bucket,3-7d,37,0.12054425767987437,4.4601375341553515,1.5318887370214858,75.67567567567568,7,13
S10_C6,0.5,doz_tradable_age_bucket,4-12h,60,0.06287088091757345,3.772252855054407,1.2442567101849578,70.0,7,15
S10_C6,0.5,doz_tradable_age_bucket,7-30d,42,0.2069497202475215,8.691888250395904,2.1920241105353386,80.95238095238095,12,15
S10_C6,0.5,doz_tradable_age_bucket,<1h,7,-0.08796562194639138,-0.6157593536247397,0.7580006241626381,57.14285714285714,4,7
S10_C6,0.5,doz_tradable_age_bucket,>=30d,38,0.008745408714649919,0.3323255311566969,1.028356824347067,68.42105263157895,10,15
S10_C6,1.0,direction,LONG,154,0.35033259940164796,53.95122030785379,2.1767614821650225,66.88311688311688,14,15
S10_C6,1.0,direction,SHORT,150,0.19459437981771416,29.189156972657123,1.5312368755962296,56.666666666666664,9,15
S10_C6,1.0,contact_session,ASIA_CME,80,0.3155129933565908,25.241039468527262,2.1007522293828793,60.0,12,15
S10_C6,1.0,contact_session,LONDON,61,0.2635859832756498,16.078744979814637,1.7633737027419232,62.295081967213115,11,15
S10_C6,1.0,contact_session,NY_AM,116,0.30521018927911936,35.40438195637785,1.8956401632489739,67.24137931034483,13,15
S10_C6,1.0,contact_session,NY_PM,39,0.182688603616118,7.124855541028602,1.4952119588455213,56.41025641025641,7,15
S10_C6,1.0,contact_session,TRANSITION,8,-0.0885805831546794,-0.7086446652374352,0.7541315062990397,25.0,3,6
S10_C6,1.0,confirmation_session,ASIA_CME,80,0.3155129933565908,25.241039468527262,2.1007522293828793,60.0,12,15
S10_C6,1.0,confirmation_session,LONDON,61,0.2635859832756498,16.078744979814637,1.7633737027419232,62.295081967213115,11,15
S10_C6,1.0,confirmation_session,NY_AM,116,0.30521018927911936,35.40438195637785,1.8956401632489739,67.24137931034483,13,15
S10_C6,1.0,confirmation_session,NY_PM,39,0.182688603616118,7.124855541028602,1.4952119588455213,56.41025641025641,7,15
