scenario,target_r,trades,mean_net_R,pf_net,best_1pct_trades,best_1pct_sum_R,best_1pct_share_total_positive_R,best_5pct_trades,best_5pct_sum_R,best_5pct_share_total_positive_R,mean_net_R_after_removing_best_5pct,pf_after_removing_best_5pct,best_10pct_trades,best_10pct_sum_R,best_10pct_share_total_positive_R
S10_C6,0.5,304,0.12475037673176796,1.5513970754461095,4,1.9749324265856043,0.018508800786857297,16,7.843274091271946,0.07350610872446435,0.10444736262217191,1.4373599133435515,31,15.121941881599936,0.14172080321799066
S10_C6,1.0,304,0.27348808315957535,1.8248638072208347,4,3.974932426585602,0.02161073558698491,16,15.84196940985132,0.08612891374042267,0.23367502732867912,1.6676902697806926,31,30.61118796617881,0.16642554341705573
S10_C6,1.5,304,0.28631285412664553,1.6622666702177997,4,5.973666410478012,0.027343791794825986,16,23.825305031693894,0.10905767672130974,0.21949237021807758,1.480983729072579,31,46.067905675813,0.21087070061589097
S10_C6,2.0,304,0.29982679172760224,1.6288039633846265,4,7.955375074825647,0.033694816225114256,16,31.757590917767434,0.13450857812005593,0.20621442280355431,1.4097158582334486,31,61.40303918663405,0.26007122248757925
S10_C6,2.5,304,0.2855435586716516,1.5538681478147622,4,9.949810521167748,0.04085649295476322,16,39.72594096844129,0.16312497849536658,0.16346979467965553,1.3003934396178443,31,76.80548368637814,0.3153831619651187
S10_C6,3.0,304,0.3181854785435356,1.6011596796421457,4,11.949810521167826,0.04638336787188278,16,47.714510550857725,0.18520458477453577,0.1701870657165872,1.3046175660162935,31,92.22016970589353,0.3579539649686338
S11_C6_PRIMARY,0.5,304,0.1204309591347527,1.524585484316686,4,1.974945610378095,0.018561279035010838,16,7.8435007352954145,0.07371615957122948,0.09988719042246322,1.412198897474817,31,15.1226616077854,0.14212844160321578
S11_C6_PRIMARY,1.0,304,0.2576623461717653,1.7619744184197113,4,3.974945610378137,0.021945599152573377,16,15.842245278332584,0.08746473502613825,0.21696912485376413,1.6078637927897972,31,30.611828420589323,0.1690073227899334
S11_C6_PRIMARY,1.5,304,0.2799181676273291,1.6470190652401826,4,5.973681213337263,0.02757755910137843,16,23.825590332863413,0.10999107619984666,0.2127414327286272,1.4658616657327495,31,46.06868621299607,0.21267655092227447
S11_C6_PRIMARY,2.0,304,0.2884902240267216,1.600731314409226,4,7.955417150061184,0.03404239470274171,16,31.758099636311098,0.13589755790744243,0.19424627940212594,1.3831958379150415,31,61.40461891190279,0.2627593543041745
S11_C6_PRIMARY,2.5,304,0.26651281125963794,1.5136959275100406,4,9.949932094253663,0.04167694943495077,16,39.72642080101889,0.16640073673586528,0.14338011743719117,1.2618158099782908,31,76.80807690541066,0.3217234356032782
S11_C6_PRIMARY,3.0,304,0.30978890849641955,1.5855023614376371,4,11.949932094253665,0.04685843148171426,16,47.71502933657331,0.1871016015137822,0.16132221821645226,1.2888523304087718,31,92.22240697624126,0.3616252631638792
S12_C6,0.5,304,0.11611065886659322,1.4986947081553723,4,1.974958780205022,0.01861803955620956,16,7.843726072845093,0.07394321529948196,0.09532609105069183,1.3878764026820452,31,15.123412350407623,0.14256919799385762
S12_C6,1.0,304,0.24013593129321179,1.6962880772695443,4,3.97495878020501,0.022350706056769608,16,15.842531056831046,0.0890806104983589,0.19846802797328245,1.5451816997652859,31,30.6124770624558,0.17213020670802104
S12_C6,1.5,304,0.26871110679735016,1.6165656972119975,4,5.973695999119847,0.027891374447055008,16,23.825885550374593,0.11124380877702626,0.2009107323472912,1.4367327719158458,31,46.06947320640816,0.21509981893417723
S12_C6,2.0,304,0.2658428030243444,1.5457787564849372,4,7.955459144935986,0.034756501231804196,16,31.758604164055626,0.13874974965474016,0.1703389165116148,1.3313023410010365,31,61.401754995619086,0.2682573229602509
S12_C6,2.5,304,0.2640814235416946,1.5091791671515773,4,9.950052593166426,0.04181612305641653,16,39.72689838045317,0.16695639101120865,0.14081199436188188,1.2572120600146481,31,76.81063074531966,0.3228046040171855
S12_C6,3.0,304,0.3065381530022456,1.5795585679052284,4,11.950052593166356,0.04705148055099968,16,47.71554566660542,0.1878725680417906,0.1578890723822127,1.2828028433804604,31,92.2250406450771,0.3631218082427893
S18_C9_STRESS,0.5,304,0.08615651906619402,1.3491630296410941,4,1.9626211843955539,0.019392713248479302,16,7.767750718463056,0.07675335590307326,0.0639716356863192,1.2456102394557826,31,14.943017526022626,0.14765236218440456
S18_C9_STRESS,1.0,304,0.1595235238528789,1.4179407598939056,4,3.962621184395585,0.024084679971459022,16,15.766478744295505,0.09582813424823708,0.11364122398256835,1.282062142398745,31,30.42652373311334,0.18493140087217616
S18_C9_STRESS,1.5,304,0.189605214805733,1.4083898960633814,4,5.960741459045254,0.029986688741344476,16,23.738827165932562,0.11942286478961141,0.11771235463545235,1.2401959399347493,31,45.850951181105266,0.23066227767285322
S18_C9_STRESS,2.0,304,0.21081602724111145,1.4225067495534738,4,7.93356415937765,0.036768037097712626,16,31.643758394033554,0.14665273503430648,0.11265386766411223,1.2138922441266953,31,61.121318918115044,0.28326624406081174
S18_C9_STRESS,2.5,304,0.18596988267408016,1.3501904072326842,4,9.926130991363678,0.04553790309699606,16,39.593453703470104,0.18164205767511438,0.05882427301892453,1.1049390434097388,31,76.45268345711725,0.3507403734450639
S18_C9_STRESS,3.0,304,0.20773932181923543,1.3785747563092292,4,11.926130991363774,0.051859534221390585,16,47.57953798010813,0.20689464839050983,0.05407366615603973,1.0933550168225983,31,91.87653509399524,0.3995155108811186
