era,research_trading_date,year,quarter,vol_band,panel_rank_v4,schema,start_utc,end_utc,cost_usd,records,billable_bytes,download_performed
E3_2019_2022,2021-09-28,2021,3,2,1,bbo-1s,2021-09-27T21:00:00+00:00,2021-09-28T22:00:00+00:00,0.077656656504,57905,4632400,False
E3_2019_2022,2021-09-28,2021,3,2,1,mbp-1,2021-09-27T21:00:00+00:00,2021-09-28T22:00:00+00:00,0.158653065562,1183003,94640240,False
E4_2023_2025,2025-05-21,2025,2,0,1,trades,2025-05-20T21:00:00+00:00,2025-05-21T22:00:00+00:00,0.15496391058,123803,5942544,False
E4_2023_2025,2025-05-21,2025,2,0,1,tbbo,2025-05-20T21:00:00+00:00,2025-05-21T22:00:00+00:00,0.258273184299,123803,9904240,False
E4_2023_2025,2025-05-21,2025,2,0,1,bbo-1s,2025-05-20T21:00:00+00:00,2025-05-21T22:00:00+00:00,0.084791332483,63225,5058000,False
E4_2023_2025,2025-05-21,2025,2,0,1,mbp-1,2025-05-20T21:00:00+00:00,2025-05-21T22:00:00+00:00,0.205549880862,1532691,122615280,False
E4_2023_2025,2024-03-06,2024,1,1,1,trades,2024-03-05T22:00:00+00:00,2024-03-06T23:00:00+00:00,0.15535068512,124112,5957376,False
E4_2023_2025,2024-03-06,2024,1,1,1,tbbo,2024-03-05T22:00:00+00:00,2024-03-06T23:00:00+00:00,0.258917808533,124112,9928960,False
E4_2023_2025,2024-03-06,2024,1,1,1,bbo-1s,2024-03-05T22:00:00+00:00,2024-03-06T23:00:00+00:00,0.07943764329,59233,4738640,False
E4_2023_2025,2024-03-06,2024,1,1,1,mbp-1,2024-03-05T22:00:00+00:00,2024-03-06T23:00:00+00:00,0.288762867451,2153172,172253760,False
E4_2023_2025,2024-12-18,2024,4,2,2,trades,2024-12-17T22:00:00+00:00,2024-12-18T23:00:00+00:00,0.101077079773,80752,3876096,False
E4_2023_2025,2024-12-18,2024,4,2,2,tbbo,2024-12-17T22:00:00+00:00,2024-12-18T23:00:00+00:00,0.168461799622,80752,6460160,False
E4_2023_2025,2024-12-18,2024,4,2,2,bbo-1s,2024-12-17T22:00:00+00:00,2024-12-18T23:00:00+00:00,0.07154121995,53345,4267600,False
E4_2023_2025,2024-12-18,2024,4,2,2,mbp-1,2024-12-17T22:00:00+00:00,2024-12-18T23:00:00+00:00,0.15856616199,1182355,94588400,False
