sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,12,33.33333333333333,66.66666666666666,0.0,16.666666666666664,-0.4999999999999943,0.25000000000000855,-0.6042606881042726,0.1898973218025252,-0.6563910321564117,0.16439310775750335,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.6666666666666666,0.2,-0.770927354770945,0.16300489526303508,-0.8230576988230841,0.14703005715934173,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.5833333333333334,0.3,-0.6875940214376116,0.2534798169657907,-0.7397243654897508,0.23339195945573668,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.5,0.4,-0.6042606881042784,0.3439547386685463,-0.6563910321564175,0.31975386175213166,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,12,8.333333333333332,91.66666666666666,0.0,16.666666666666664,-0.7083333333333334,0.22727272727272727,-0.8125940214376116,0.19528623828904368,-0.8647243654897508,0.1814078870317838,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,12,8.333333333333332,91.66666666666666,0.0,16.666666666666664,-0.6666666666666666,0.2727272727272727,-0.770927354770945,0.23654883583064296,-0.8230576988230841,0.22085167521241564,1.9440977076433228,5.0,0.11329720954783429
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,0.5,1032,57.36434108527132,24.612403100775193,18.023255813953487,0.09689922480620156,0.007201484407199028,1.025003951859691,-0.02303702721811568,0.9228776860619052,-0.03815628303077303,0.8745286372748596,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.0,1032,33.91472868217054,31.686046511627907,34.39922480620155,0.0,0.027157270696409136,1.0729969531651433,-0.0030812409289055665,0.9920308416128348,-0.018200496741562922,0.9538095250185403,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.5,1032,18.8953488372093,35.27131782945737,45.83333333333333,0.0,0.004479330712303024,1.010870040990661,-0.025759180913011673,0.9399179225890107,-0.04087843672566902,0.9064891963216165,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.0,1032,11.24031007751938,37.1124031007752,51.64728682170543,0.0,-0.011201213341370917,0.9740181485495544,-0.04143972496668562,0.9076607782898115,-0.05655898077934297,0.876427727688168,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.5,1032,6.782945736434108,37.3062015503876,55.91085271317829,0.0,-0.0161401717967618,0.9628185271628802,-0.0463786834220765,0.8973906246596466,-0.06149793923473386,0.8666091044130283,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,3.0,1032,4.651162790697675,37.5,57.84883720930233,0.0,-0.011205123042346096,0.9743149445242913,-0.0414436346676608,0.9088021143697604,-0.05656289048031816,0.8779977273053956,8.688750000000027,1.0,0.025320097848612527
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,0.5,198,58.080808080808076,40.4040404040404,1.5151515151515151,0.0,-0.1156435352418418,0.7163980849955809,-0.1699587885823348,0.6060430652583165,-0.19711641525258128,0.555365278958962,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,1.0,198,44.94949494949495,50.505050505050505,4.545454545454546,0.0,-0.0472232252949044,0.9072622131583497,-0.10153847863539742,0.811573888424041,-0.1286961053056439,0.7676204069447105,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,1.5,198,33.83838383838384,58.58585858585859,7.575757575757576,0.0,-0.05912894719644879,0.9004912958406515,-0.1134442005369418,0.8193319615610528,-0.14060182720718828,0.7819713005669393,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,2.0,198,25.757575757575758,63.13131313131313,11.11111111111111,0.0,-0.05796532114172194,0.9095933928401576,-0.11228057448221497,0.8342461482533167,-0.13943820115246147,0.7995478050128492,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,2.5,198,19.696969696969695,65.15151515151516,15.151515151515152,0.0,-0.05315604991327489,0.9196266917220374,-0.10747130325376791,0.84624333513979,-0.13462892992401437,0.8124637337032297,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,3.0,198,15.656565656565657,66.16161616161617,18.181818181818183,0.0,-0.03360735851548963,0.949949238145368,-0.08792261185598263,0.8761403765486766,-0.11508023852622913,0.8421746463044821,4.449499999999944,3.0,0.04944608104613253
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,0.5,504,54.166666666666664,45.63492063492063,0.1984126984126984,14.880952380952381,-0.18605165105429977,0.592782303179284,-0.27932050050936513,0.4438039273304854,-0.3259549252368978,0.3789611937012772,2.660000000000082,4.0,0.08270683997367459
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,1.0,504,40.87301587301587,57.738095238095234,1.3888888888888888,14.087301587301587,-0.16709344081119404,0.7110435452405869,-0.26036229026625946,0.5887883527575758,-0.30699671499379216,0.5353115621318768,2.660000000000082,4.0,0.08270683997367459
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,1.5,504,32.73809523809524,64.28571428571429,2.976190476190476,13.690476190476192,-0.14564795700623043,0.7746175800175693,-0.23891680646129582,0.6623469829896571,-0.28555123118882847,0.6132331422725769,2.660000000000082,4.0,0.08270683997367459
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,2.0,504,26.38888888888889,69.24603174603175,4.365079365079365,13.690476190476192,-0.1511081170142413,0.7828373048588959,-0.24437696646930668,0.6797637179140329,-0.29101139119683933,0.6347784613071368,2.660000000000082,4.0,0.08270683997367459
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,2.5,504,22.817460317460316,71.03174603174604,6.15079365079365,13.293650793650794,-0.10849721159150878,0.8480007062847822,-0.2017660610465742,0.742495905518318,-0.2484004857741069,0.6965054786961682,2.660000000000082,4.0,0.08270683997367459
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,3.0,504,18.650793650793652,73.21428571428571,8.134920634920634,13.293650793650794,-0.10176068133258938,0.861667940719742,-0.19502953078765478,0.7584453439857437,-0.24166395551518743,0.7134397778117357,2.660000000000082,4.0,0.08270683997367459
