timestamp_utc,open,high,low,close,volume
2026-08-19T20:32:00Z,4521.29,4521.81,4520.675,4521.185,
2026-08-19T20:33:00Z,4521.185,4522.39,4520.74,4522.255,
2026-08-19T20:34:00Z,4522.255,4523.68,4521.295,4521.52,
2026-08-19T20:35:00Z,4521.52,4521.52,4520.62,4521.315,
2026-08-19T20:36:00Z,4521.315,4521.405,4520.015,4520.17,
2026-08-19T20:37:00Z,4520.17,4520.17,4519.16,4519.205,
2026-08-19T20:38:00Z,4519.205,4519.27,4518.795,4519.235,
2026-08-19T20:39:00Z,4519.235,4519.995,4518.84,4519.755,
2026-08-19T20:40:00Z,4519.755,4520.655,4519.69,4519.805,
2026-08-19T20:41:00Z,4519.805,4520.1,4519.3,4519.82,
2026-08-19T20:42:00Z,4519.82,4520.13,4519.41,4519.88,
2026-08-19T20:43:00Z,4519.88,4520.91,4519.195,4520.25,
2026-08-19T20:44:00Z,4520.25,4520.32,4518.995,4519.52,
2026-08-19T20:45:00Z,4519.52,4520.68,4519.52,4520.44,
2026-08-19T20:46:00Z,4520.44,4521.495,4520.44,4521.485,
2026-08-19T20:47:00Z,4521.485,4522.12,4521.45,4521.535,
2026-08-19T20:48:00Z,4521.535,4521.615,4520.89,4521.105,
2026-08-19T20:49:00Z,4521.105,4521.39,4520.5,4521.115,
2026-08-19T20:50:00Z,4521.115,4523.25,4520.905,4522.255,
2026-08-19T20:51:00Z,4522.255,4522.725,4522.06,4522.48,
2026-08-19T20:52:00Z,4522.48,4522.5,4521.915,4522.185,
2026-08-19T20:53:00Z,4522.185,4523.035,4521.975,4522.35,
2026-08-19T20:54:00Z,4522.35,4524.035,4521.775,4523.875,
2026-08-19T20:55:00Z,4523.875,4524.335,4523.535,4523.575,
2026-08-19T20:56:00Z,4523.575,4523.645,4522.415,4523.395,
2026-08-19T20:57:00Z,4523.395,4523.695,4522.43,4523.15,
2026-08-19T20:58:00Z,4523.15,4523.43,4522.89,4523.03,
2026-08-19T20:59:00Z,4523.03,4523.235,4522.465,4522.74,
2026-08-19T22:00:00Z,4522.74,4525.59,4522.74,4525.265,
2026-08-19T22:01:00Z,4525.265,4527.575,4525.265,4525.76,
2026-08-19T22:02:00Z,4525.76,4525.765,4520.715,4521.71,
2026-08-19T22:03:00Z,4521.71,4522.62,4519.56,4522.62,
2026-08-19T22:04:00Z,4522.62,4524.475,4520.98,4521.44,
2026-08-19T22:05:00Z,4521.44,4522.455,4520.88,4522.185,
2026-08-19T22:06:00Z,4522.185,4523.815,4521.9,4523.33,
2026-08-19T22:07:00Z,4523.33,4523.33,4521.93,4522.75,
