event_id,source_year,doz_zone_id,objective_zone_id,anchor_zone_id,anchor_family,anchor_variant,partner_zone_id,partner_family,partner_variant,doz_contact_time,objective_contact_time,confluence_time,confirm_time,entry_time,confluence_idx,causal_clean_rejection_trigger_minutes,confirm_idx,entry_idx,direction,anchor_side,doz_side,objective_side,side_relation,anchor_lower,anchor_upper,pair_lower,pair_upper,direct_overlap,doz_origin_time,doz_known_time,doz_source_tf,doz_variant,objective_origin_time,objective_known_time,objective_source_tf,objective_variant,doz_activation_session,objective_activation_session,entry_session,timing_integrity_pass,prefix_invariance_pass
4f0cb13a0ff792a8511ed5e3,2011,DOZ_BODY_00006727,LONDON_H_00003234,DOZ_BODY_00006727,DISPLACEMENT_ORIGIN,DOZ_BODY,LONDON_H_00003234,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2011-02-25T15:47:00+00:00,2011-02-25T15:47:00+00:00,2011-02-25T15:47:00+00:00,2011-02-25T15:47:00+00:00,2011-02-25T15:48:00+00:00,605747,0,605747,605748,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1408.567,1408.601,1408.567,1408.601,1.0,2011-02-25T08:00:00+00:00,2011-02-25T09:30:00+00:00,30min,DOZ_BODY,2011-02-25T12:59:00+00:00,2011-02-25T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,NY_AM,True,True
60b1b1aea66951e363b16906,2011,DOZ_BODY_00002848,ASIA_CME_L_00003301,DOZ_BODY_00002848,DISPLACEMENT_ORIGIN,DOZ_BODY,ASIA_CME_L_00003301,OBJECTIVE_LIQUIDITY,ASIA_CME_LOW,2011-03-07T14:39:00+00:00,2011-03-07T14:39:00+00:00,2011-03-07T14:39:00+00:00,2011-03-07T14:40:00+00:00,2011-03-07T14:41:00+00:00,620079,1,620080,620081,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1430.9905,1431.94,1430.9905,1431.6185,0.6614007372300856,2011-03-06T23:00:00+00:00,2011-03-06T23:15:00+00:00,15min,DOZ_BODY,2011-03-07T07:59:00+00:00,2011-03-07T08:00:00+00:00,SESSION,ASIA_CME_LOW,ASIA_CME,LONDON,NY_AM,True,True
e81049a16702793c2c09478c,2011,DOZ_BODY_00006775,LONDON_L_00003323,DOZ_BODY_00006775,DISPLACEMENT_ORIGIN,DOZ_BODY,LONDON_L_00003323,OBJECTIVE_LIQUIDITY,LONDON_LOW,2011-03-09T16:19:00+00:00,2011-03-09T16:19:00+00:00,2011-03-09T16:19:00+00:00,2011-03-09T16:19:00+00:00,2011-03-09T16:20:00+00:00,623059,0,623059,623060,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1425.967,1426.368,1425.967,1426.368,1.0,2011-03-09T09:00:00+00:00,2011-03-09T10:00:00+00:00,30min,DOZ_BODY,2011-03-09T12:59:00+00:00,2011-03-09T13:00:00+00:00,SESSION,LONDON_LOW,LONDON,NY_AM,NY_AM,True,True
b7545562f9bff0cc2130cebc,2011,DOZ_LAST_00002880,NY_AM_H_00003334,NY_AM_H_00003334,OBJECTIVE_LIQUIDITY,NY_AM_HIGH,DOZ_LAST_00002880,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-03-11T16:59:00+00:00,2011-03-11T16:59:00+00:00,2011-03-11T16:59:00+00:00,2011-03-11T16:59:00+00:00,2011-03-11T17:00:00+00:00,625979,0,625979,625980,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1421.518,1423.79,1421.518,1422.654,0.5,2011-03-10T13:45:00+00:00,2011-03-10T14:45:00+00:00,15min,DOZ_LAST,2011-03-10T16:59:00+00:00,2011-03-10T17:00:00+00:00,SESSION,NY_AM_HIGH,NY_AM,NY_PM,NY_PM,True,True
d5889167bc4b13410d15500b,2011,DOZ_BASE_00002873,PDH_00000734,DOZ_BASE_00002873,DISPLACEMENT_ORIGIN,DOZ_BASE,PDH_00000734,OBJECTIVE_LIQUIDITY,PDH,2011-03-13T22:15:00+00:00,2011-03-13T22:15:00+00:00,2011-03-13T22:15:00+00:00,2011-03-13T22:16:00+00:00,2011-03-13T22:17:00+00:00,629175,1,629176,629177,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1429.624,1431.582,1429.624,1431.582,1.0,2011-03-10T07:30:00+00:00,2011-03-10T08:00:00+00:00,15min,DOZ_BASE,2011-03-10T21:59:00+00:00,2011-03-10T22:00:00+00:00,D1,PDH,LONDON,TRANSITION,ASIA_CME,True,True
e0618fd6141a9d88b1767dee,2011,DOZ_BASE_00008813,LONDON_H_00003332,DOZ_BASE_00008813,DISPLACEMENT_ORIGIN,DOZ_BASE,LONDON_H_00003332,OBJECTIVE_LIQUIDITY,LONDON_HIGH,2011-03-13T22:13:00+00:00,2011-03-13T22:12:00+00:00,2011-03-13T22:13:00+00:00,2011-03-13T22:16:00+00:00,2011-03-13T22:17:00+00:00,629173,3,629176,629177,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1428.365,1431.582,1428.365,1429.378,0.7235714285715594,2011-03-10T07:00:00+00:00,2011-03-10T12:00:00+00:00,1h,DOZ_BASE,2011-03-10T12:59:00+00:00,2011-03-10T13:00:00+00:00,SESSION,LONDON_HIGH,LONDON,NY_AM,ASIA_CME,True,True
f5ad226877d89d6fc4659b0b,2011,DOZ_LAST_00002958,ASIA_CME_L_00003409,DOZ_LAST_00002958,DISPLACEMENT_ORIGIN,DOZ_LAST,ASIA_CME_L_00003409,OBJECTIVE_LIQUIDITY,ASIA_CME_LOW,2011-03-22T13:01:00+00:00,2011-03-22T13:01:00+00:00,2011-03-22T13:01:00+00:00,2011-03-22T13:01:00+00:00,2011-03-22T13:02:00+00:00,641581,0,641581,641582,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1419.2575000000002,1419.6615000000002,1419.2575000000002,1419.6615000000002,1.0,2011-03-20T21:45:00+00:00,2011-03-20T22:15:00+00:00,15min,DOZ_LAST,2011-03-21T06:59:00+00:00,2011-03-21T07:00:00+00:00,SESSION,ASIA_CME_LOW,ASIA_CME,LONDON,NY_AM,True,True
f34d9e2fbb6550cc565b480d,2011,DOZ_LAST_00002997,NY_AM_H_00003466,NY_AM_H_00003466,OBJECTIVE_LIQUIDITY,NY_AM_HIGH,DOZ_LAST_00002997,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-03-28T15:59:00+00:00,2011-03-28T16:00:00+00:00,2011-03-28T16:00:00+00:00,2011-03-28T16:10:00+00:00,2011-03-28T16:11:00+00:00,650400,10,650410,650411,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1422.2495,1424.0095,1423.0735,1424.0095,0.5318181818182006,2011-03-28T06:45:00+00:00,2011-03-28T07:00:00+00:00,15min,DOZ_LAST,2011-03-28T15:59:00+00:00,2011-03-28T16:00:00+00:00,SESSION,NY_AM_HIGH,LONDON,NY_PM,NY_PM,True,True
afee55aed51592d202d47ac0,2011,DOZ_LAST_00008853,LONDON_L_00003485,LONDON_L_00003485,OBJECTIVE_LIQUIDITY,LONDON_LOW,DOZ_LAST_00008853,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-03-30T14:28:00+00:00,2011-03-30T14:30:00+00:00,2011-03-30T14:30:00+00:00,2011-03-30T14:30:00+00:00,2011-03-30T14:31:00+00:00,653190,0,653190,653191,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1416.9525,1418.3524999999995,1417.6525,1418.3524999999995,0.5,2011-03-30T10:00:00+00:00,2011-03-30T13:00:00+00:00,1h,DOZ_LAST,2011-03-30T11:59:00+00:00,2011-03-30T12:00:00+00:00,SESSION,LONDON_LOW,NY_AM,NY_AM,NY_AM,True,True
351c511cd8ece8ee13f0d3aa,2011,DOZ_BODY_00006856,NY_PM_H_00003454,DOZ_BODY_00006856,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_PM_H_00003454,OBJECTIVE_LIQUIDITY,NY_PM_HIGH,2011-03-31T12:52:00+00:00,2011-03-31T12:52:00+00:00,2011-03-31T12:52:00+00:00,2011-03-31T12:52:00+00:00,2011-03-31T12:53:00+00:00,654532,0,654532,654533,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1434.255,1435.301,1434.3155000000002,1435.301,0.9421606118546294,2011-03-25T16:00:00+00:00,2011-03-25T16:30:00+00:00,30min,DOZ_BODY,2011-03-25T19:59:00+00:00,2011-03-25T20:00:00+00:00,SESSION,NY_PM_HIGH,NY_PM,TRANSITION,NY_AM,True,True
