date,open,high,low,close,bars,last_min,sma200,atr14,prior_close,prior_sma200,prior_atr14
2000-01-03,81.8815,81.8815,77.2527,80.6578,78,955,,,,,
2000-01-04,78.3168,79.5937,75.3374,75.6034,78,955,,,80.6578,,
2000-01-05,74.4861,76.2951,71.7195,74.4329,78,955,,,75.6034,,
2000-01-06,73.9541,74.9118,70.6554,71.1342,78,955,,,74.4329,,
2000-01-07,70.6022,75.2842,70.2298,75.2842,78,955,,,71.1342,,
2000-01-10,77.4656,79.9662,76.5611,78.7159,78,955,,,75.2842,,
2000-01-11,78.104,79.0617,74.5925,75.1512,78,955,,,78.7159,,
2000-01-12,75.763,75.9625,73.2092,74.1137,78,955,,,75.1512,,
2000-01-13,75.3374,76.8803,74.127,76.7207,78,955,,,74.1137,,
2000-01-14,79.1681,79.7001,78.3168,78.7425,78,955,,,76.7207,,
2000-01-18,78.37,80.3918,77.838,79.913,78,955,,,78.7425,,
2000-01-19,79.5804,80.977,78.676,80.6578,78,955,,,79.913,,
2000-01-20,81.2963,82.4668,80.2322,81.549,78,955,,,80.6578,,
2000-01-21,82.1475,82.2007,80.9238,81.7751,78,955,,3.7201065566062494,81.549,,
2000-01-24,82.9456,83.1052,77.7848,77.9444,78,955,,3.834413231134374,81.7751,,3.7201065566062494
2000-01-25,78.2104,79.913,76.1088,79.7001,78,955,,3.832255143196204,77.9444,,3.834413231134374
2000-01-26,79.3809,79.4341,76.8271,77.0665,78,955,,3.76373691868219,79.7001,,3.832255143196204
2000-01-27,78.104,78.7425,74.5925,76.5877,78,955,,3.7913271387763197,77.0665,,3.76373691868219
2000-01-28,76.6143,77.0133,72.1451,73.3156,78,955,,3.8682466288637256,76.5877,,3.7913271387763197
2000-01-31,73.1028,75.8694,71.081,75.763,78,955,,3.9339718696591737,73.3156,,3.8682466288637256
2000-02-01,76.2153,78.7425,75.2842,78.4498,78,955,,3.899995307540662,75.763,,3.9339718696591737
2000-02-02,78.5296,80.6312,78.3966,79.1149,78,955,,3.7810384998591866,78.4498,,3.899995307540662
2000-02-03,80.2854,82.0943,78.5563,81.8283,78,955,,3.763678607012103,79.1149,,3.7810384998591866
2000-02-04,82.5732,83.624,81.9081,82.3604,78,955,,3.623108706511238,81.8283,,3.763678607012103
2000-02-07,82.786,83.6373,81.9347,83.6373,78,955,,3.485929513189006,82.3604,,3.623108706511238
2000-02-08,84.5949,86.3241,84.5949,86.3241,78,955,,3.4288488336755063,83.6373,,3.485929513189006
2000-02-09,86.8827,86.9891,84.5949,84.5949,78,955,,3.3549453455558274,86.3241,,3.4288488336755063
2000-02-10,84.9674,86.9625,83.89,86.8561,78,955,,3.3347706780161257,84.5949,,3.3549453455558274
