entry_time,exit_time,entry,stop,stop_dist,exit,exit_reason,gross_R,cost_R,net_R,date,scenario,first_open,first_close,prior_close,prior_sma200,prior_atr14
2001-12-06 09:35:00,2001-12-06 09:35:00,36.4173,36.356662515411244,0.0606374845887529,36.356662515411244,SL,-1.0000000000000009,0.06000740549263272,-1.0600074054926336,2001-12-06,SOURCE_COST,36.3492,36.4258,36.4344,35.176519000000006,1.212749691775058
2001-12-06 09:35:00,2001-12-06 09:35:00,36.4173,36.356662515411244,0.0606374845887529,36.356662515411244,SL,-1.0000000000000009,0.12001481098526544,-1.1200148109852663,2001-12-06,DOUBLE_COST,36.3492,36.4258,36.4344,35.176519000000006,1.212749691775058
2001-12-06 09:35:00,2001-12-06 09:35:00,36.4173,36.356662515411244,0.0606374845887529,36.356662515411244,SL,-1.0000000000000009,0.24002962197053088,-1.2400296219705318,2001-12-06,HARD_STRESS,36.3492,36.4258,36.4344,35.176519000000006,1.212749691775058
2001-12-12 09:35:00,2001-12-12 09:35:00,35.3788,35.31956973052011,0.05923026947988785,35.31956973052011,SL,-1.0000000000000413,0.05968094552948671,-1.059680945529528,2001-12-12,SOURCE_COST,35.3277,35.3788,35.2085,34.9246705,1.1846053895977569
2001-12-12 09:35:00,2001-12-12 09:35:00,35.3788,35.31956973052011,0.05923026947988785,35.31956973052011,SL,-1.0000000000000413,0.11936189105897342,-1.1193618910590146,2001-12-12,DOUBLE_COST,35.3277,35.3788,35.2085,34.9246705,1.1846053895977569
2001-12-12 09:35:00,2001-12-12 09:35:00,35.3788,35.31956973052011,0.05923026947988785,35.31956973052011,SL,-1.0000000000000413,0.23872378211794684,-1.2387237821179882,2001-12-12,HARD_STRESS,35.3277,35.3788,35.2085,34.9246705,1.1846053895977569
2001-12-18 09:35:00,2001-12-18 10:00:00,35.0893,35.03127148631781,0.058028513682191765,35.03127148631781,SL,-0.9999999999999443,0.06041906559105697,-1.0604190655910013,2001-12-18,SOURCE_COST,35.0383,35.1149,34.7488,34.6868675,1.1605702736438352
2001-12-18 09:35:00,2001-12-18 10:00:00,35.0893,35.03127148631781,0.058028513682191765,35.03127148631781,SL,-0.9999999999999443,0.12083813118211394,-1.120838131182058,2001-12-18,DOUBLE_COST,35.0383,35.1149,34.7488,34.6868675,1.1605702736438352
2001-12-18 09:35:00,2001-12-18 10:00:00,35.0893,35.03127148631781,0.058028513682191765,35.03127148631781,SL,-0.9999999999999443,0.24167626236422787,-1.2416762623641722,2001-12-18,HARD_STRESS,35.0383,35.1149,34.7488,34.6868675,1.1605702736438352
2002-01-04 09:35:00,2002-01-04 09:40:00,35.9066,35.85635165966174,0.05024834033825925,35.85635165966174,SL,-0.9999999999999548,0.07140828052884086,-1.0714082805287957,2002-01-04,SOURCE_COST,35.7108,35.9151,35.2766,34.253954,1.004966806765185
2002-01-04 09:35:00,2002-01-04 09:40:00,35.9066,35.85635165966174,0.05024834033825925,35.85635165966174,SL,-0.9999999999999548,0.14281656105768173,-1.1428165610576366,2002-01-04,DOUBLE_COST,35.7108,35.9151,35.2766,34.253954,1.004966806765185
2002-01-04 09:35:00,2002-01-04 09:40:00,35.9066,35.85635165966174,0.05024834033825925,35.85635165966174,SL,-0.9999999999999548,0.28563312211536346,-1.2856331221153183,2002-01-04,HARD_STRESS,35.7108,35.9151,35.2766,34.253954,1.004966806765185
2002-01-09 09:35:00,2002-01-09 09:35:00,35.9321,35.88197760250614,0.050122397493861374,35.88197760250614,SL,-0.9999999999999382,0.07163870963205761,-1.0716387096319957,2002-01-09,SOURCE_COST,35.7874,35.9406,35.3362,34.221606,1.0024479498772274
2002-01-09 09:35:00,2002-01-09 09:35:00,35.9321,35.88197760250614,0.050122397493861374,35.88197760250614,SL,-0.9999999999999382,0.14327741926411522,-1.1432774192640534,2002-01-09,DOUBLE_COST,35.7874,35.9406,35.3362,34.221606,1.0024479498772274
2002-01-09 09:35:00,2002-01-09 09:35:00,35.9321,35.88197760250614,0.050122397493861374,35.88197760250614,SL,-0.9999999999999382,0.28655483852823044,-1.2865548385281687,2002-01-09,HARD_STRESS,35.7874,35.9406,35.3362,34.221606,1.0024479498772274
