date,true_direction,true_entry,true_exit,get_direction,get_signal,get_prev_close,get_entry,get_exit,entry_abs_diff,exit_abs_diff,direction_match,entry_signed_diff,exit_signed_diff
2026-06-01,-1,30624.5,30571.25,-1,30321.5,30397.5,30624.0,30571.25,0.5,0.0,True,-0.5,0.0
2026-06-02,1,30664.25,30707.25,1,30601.75,30571.25,30663.75,30707.25,0.5,0.0,True,-0.5,0.0
2026-06-03,-1,30635.0,30635.75,-1,30558.75,30707.25,30634.5,30635.75,0.5,0.0,True,-0.5,0.0
2026-06-04,-1,30594.5,30485.0,-1,30248.0,30635.75,30594.25,30485.5,0.25,0.5,True,-0.25,0.5
2026-06-05,-1,29154.5,29016.25,-1,29773.75,30485.5,29155.0,29015.75,0.5,0.5,True,0.5,-0.5
2026-06-08,1,29437.5,29453.0,1,29349.75,29015.75,29437.0,29453.0,0.5,0.0,True,-0.5,0.0
2026-06-09,1,28952.75,29115.75,1,29672.75,29453.0,28952.75,29115.25,0.0,0.5,True,0.0,-0.5
2026-06-10,-1,28546.5,28527.75,-1,29022.0,29115.25,28546.25,28526.0,0.25,1.75,True,-0.25,-1.75
2026-06-11,1,29424.0,29457.0,1,28900.5,28526.0,29424.25,29456.75,0.25,0.25,True,0.25,-0.25
2026-06-12,-1,29660.25,29649.25,-1,29349.5,29456.75,29660.0,29648.25,0.25,1.0,True,-0.25,-1.0
2026-06-15,1,30529.5,30567.0,1,30402.25,29648.25,30529.75,30567.5,0.25,0.5,True,0.25,0.5
2026-06-16,1,30444.5,30310.75,-1,30499.75,30567.5,30128.75,29991.25,315.75,319.5,False,-315.75,-319.5
2026-06-17,1,30128.75,29994.75,1,30347.75,29991.25,30128.0,29994.75,0.75,0.0,True,-0.75,0.0
2026-06-18,1,30688.0,30693.0,1,30468.75,29994.75,30687.75,30692.75,0.25,0.25,True,-0.25,-0.25
2026-06-22,1,30552.25,30654.25,1,30937.0,30306.05,30552.5,30654.25,0.25,0.0,True,0.25,0.0
2026-06-23,-1,29711.0,29650.0,-1,29926.0,30654.25,29710.75,29650.5,0.25,0.5,True,-0.25,0.5
2026-06-24,1,29383.75,29513.75,1,29684.25,29650.5,29384.0,29514.0,0.25,0.25,True,0.25,0.25
2026-06-25,-1,29682.5,29748.5,-1,29316.0,29514.0,29682.75,29749.5,0.25,1.0,True,0.25,1.0
2026-06-26,-1,29451.75,29317.5,-1,29440.5,29749.5,29451.25,29316.0,0.5,1.5,True,-0.5,-1.5
2026-06-29,1,30026.0,30046.25,1,29617.75,29316.0,30025.5,30046.25,0.5,0.0,True,-0.5,0.0
2026-06-30,1,30575.5,30513.5,1,30366.75,30046.25,30575.25,30513.5,0.25,0.0,True,-0.25,0.0
2026-07-01,-1,30189.75,30080.75,-1,30283.75,30513.5,30190.0,30080.75,0.25,0.0,True,0.25,0.0
2026-07-02,1,29422.25,29538.5,1,30257.75,30080.75,29422.5,29538.25,0.25,0.25,True,0.25,-0.25
2026-07-06,1,30036.0,29951.75,1,29932.5,29675.05,30035.75,29951.75,0.25,0.0,True,-0.25,0.0
2026-07-07,-1,29321.5,29395.25,-1,29469.0,29951.75,29320.75,29395.0,0.75,0.25,True,-0.75,-0.25
2026-07-08,-1,29425.5,29457.25,-1,29367.5,29395.0,29425.0,29457.5,0.5,0.25,True,-0.5,0.25
2026-07-09,1,29931.75,29948.5,1,29909.5,29457.5,29932.0,29948.75,0.25,0.25,True,0.25,0.25
2026-07-10,-1,30047.0,30037.25,-1,29923.0,29948.75,30046.25,30037.5,0.75,0.25,True,-0.75,0.25
2026-07-13,-1,29419.75,29466.75,-1,29630.0,30037.5,29419.75,29467.0,0.0,0.25,True,0.0,0.25
2026-07-14,1,29797.75,29785.75,1,29781.25,29467.0,29797.25,29786.0,0.5,0.25,True,-0.5,0.25
2026-07-15,1,29643.0,29701.0,1,29823.5,29786.0,29643.25,29701.0,0.25,0.0,True,0.25,0.0
2026-07-16,-1,29147.75,29217.0,-1,29347.5,29701.0,29147.5,29217.0,0.25,0.0,True,-0.25,0.0
2026-07-17,-1,28795.5,28764.75,-1,28676.0,29217.0,28795.75,28764.25,0.25,0.5,True,0.25,-0.5
2026-07-20,1,28855.5,28785.0,1,28994.75,28764.25,28855.75,28785.25,0.25,0.25,True,0.25,0.25
2026-07-21,1,29293.25,29310.5,1,29152.75,28785.25,29293.25,29310.75,0.0,0.25,True,0.0,0.25
2026-07-22,-1,29253.5,29161.0,-1,29276.75,29310.75,29253.5,29160.5,0.0,0.5,True,0.0,-0.5
2026-07-23,-1,28583.25,28614.75,-1,28707.75,29160.5,28583.5,28615.0,0.25,0.25,True,0.25,0.25
2026-07-24,-1,28253.5,28283.5,-1,28322.25,28615.0,28253.0,28283.25,0.5,0.25,True,-0.5,-0.25
2026-07-27,1,28243.25,28193.0,1,28347.75,28283.25,28243.75,28192.25,0.5,0.75,True,0.5,-0.75
