scenario,sample,entry_model,risk_rule,target_r,dimension,group,trades,sum_net_R,mean_net_R,pos_R,neg_R,pf_net,positive_years,active_years,arch_mean_net_R,arch_pf_net,arch_trades,arch_positive_years,arch_active_years
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,relevant_source_tf,15min,129,-61.226598838050364,-0.4746247971941889,38.122157095217894,99.34875593326827,0.3837205281244209,1,15,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,relevant_source_tf,1h,26,-8.523482327580098,-0.3278262433684653,9.194652060268904,17.718134387849,0.5189401919524071,2,12,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,relevant_source_tf,30min,53,-16.87078464385668,-0.31831669139352226,19.1290468343322,35.999831478188874,0.5313648994696508,4,15,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,relevant_variant,DOZ_BODY,206,-86.53009385585293,-0.4200489993002569,65.47793602583995,152.00802988169283,0.43075313900720336,1,15,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,relevant_variant,DOZ_LAST,2,-0.09077195363421764,-0.04538597681710882,0.9679199639790445,1.058691917613262,0.9142602752282686,1,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->ASIA_CME,21,-10.104706276938455,-0.48117648937802165,6.324399816573565,16.42910609351202,0.3849509389358146,3,11,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->LONDON,15,-7.288799412984294,-0.4859199608656196,4.335223040991008,11.624022453975302,0.3729537738038698,1,10,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_AM,18,-12.63121930268496,-0.70173440570472,4.469073360810707,17.10029266349567,0.26134484647452416,3,12,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_PM,4,-0.5779650671115477,-0.14449126677788693,1.7412986791134386,2.319263746224986,0.7507980418129295,2,4,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->ASIA_CME,4,-2.4191325940878885,-0.6047831485219721,0.7868561278863618,3.20598872197425,0.24543321768200582,1,4,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->LONDON,12,-1.7976784633537202,-0.14980653861281001,5.1831243692717255,6.980802832625446,0.742482561611381,3,8,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->NY_AM,35,-11.112628423939979,-0.317503669255428,12.56181051959702,23.674438943536998,0.5306064717967195,4,15,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->NY_PM,5,-3.2643055318358893,-0.6528611063671779,0.9016393442623156,4.165944876098205,0.21643093489676338,1,4,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->ASIA_CME,7,-6.178741022980766,-0.8826772889972523,0.7919911971640521,6.970732220144818,0.11361664343887225,1,6,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->LONDON,6,-0.6023108237056445,-0.10038513728427408,2.7318117538827424,3.334122577588387,0.8193495260929178,2,5,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_AM,43,-22.73231580917922,-0.5286585071902145,11.20147026575109,33.93378607493031,0.33009786296809773,2,14,-0.416446470237919,0.43409733486642305,208,1,15
