dimension,group,fully_rejected_architectures_observed,eligible_architectures_n50,repeated_signal_architectures,robust_signal_architectures,median_primary_delta_rr15,median_stress_delta_rr15,primary_and_stress_positive_rr15_architectures
relevant_source_tf,1h,14,13,2,0,-0.005467771277175108,0.00297813998418227,2
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->NY_PM,14,8,2,0,0.02122294476889721,0.029492618976410707,2
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->TRANSITION,13,4,2,0,0.012044962780304534,0.04945788852991427,3
direction,LONG,32,32,1,0,0.019572450264916608,0.0196055824787403,1
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,LONDON->NY_AM,14,14,1,0,0.03891832443110149,0.025867825554884715,2
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->NY_AM,14,13,1,0,-0.006399125508095092,-0.0016720287160581597,1
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_PM->NY_AM,14,13,1,0,0.0004176069981006447,0.014249547800517293,1
relevant_variant,DOZ_LAST,14,10,1,0,0.014071574243728945,0.021957636504782732,2
transition:MEMORY_activation_to_entry,NY_AM->NY_AM,9,9,1,0,-0.011956233331815641,5.609870773609638e-06,1
transition:MEMORY_activation_to_entry,NY_PM->NY_PM,9,9,1,0,-0.012499537125462784,-0.025140940848148025,1
transition:MEMORY_origin_to_entry,LONDON->NY_AM,9,8,1,0,0.0511896940890327,0.051208483669811365,1
transition:MEMORY_origin_to_entry,NY_AM->NY_AM,9,8,1,0,0.1022894721119976,0.09900138598828573,1
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_AM->ASIA_CME,14,8,1,0,-0.04323426871549818,-0.03745304844192179,1
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,LONDON->ASIA_CME,14,8,1,0,-0.042140943107128376,-0.037643719082348946,1
transition:MEMORY_origin_to_entry,NY_PM->LONDON,9,4,1,0,0.18738388592966543,0.1872525638139884,3
direction,SHORT,32,32,0,0,-0.017687390792291317,-0.018287266609764194,2
contact_session,ASIA_CME,32,31,0,0,-0.024756623903492883,-0.0234701637885679,1
entry_session,ASIA_CME,32,31,0,0,-0.025503993845857567,-0.02371400385891099,1
relevant_age_bucket,1-4h,32,26,0,0,0.016656634603547247,0.012029578132220685,1
relevant_age_bucket,<1h,32,26,0,0,-0.019412106346351383,-0.020610852146069406,0
relevant_source_tf,15min,14,14,0,0,-0.01321974697146023,-0.014431758446844531,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,LONDON->NY_AM,14,14,0,0,0.004011304343419819,-0.006146604074491743,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,ASIA_CME->NY_AM,14,14,0,0,0.004229307536556967,-0.00434281262105838,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_AM,14,13,0,0,-0.005142287666517774,-0.0012318618191603653,1
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,LONDON->LONDON,14,10,0,0,-0.050532233306497656,-0.052933026608911325,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,ASIA_CME->LONDON,14,10,0,0,-0.05838189114830833,-0.0592329520652449,0
relevant_source_tf,M1,9,9,0,0,0.0,0.0,0
relevant_source_tf,SESSION,9,9,0,0,-0.000602471064621227,-0.0029005005633962744,0
relevant_variant,ASIA_CME_LOW,9,9,0,0,-0.049991709755441316,-0.04695834663533092,0
relevant_variant,DIRECTIONAL_CHANGE_CLUSTER,9,9,0,0,0.0,0.0,0
relevant_variant,LONDON_LOW,9,9,0,0,0.018246366047884745,0.016443589691414424,1
relevant_variant,NY_AM_LOW,9,9,0,0,0.025070044218017708,0.018520690576497523,1
relevant_variant,ROUND_1,9,9,0,0,-0.006020254508246616,0.003652269416732898,1
relevant_variant,TRANSITION_HIGH,9,9,0,0,-0.06102691956080712,-0.06367486932227465,0
transition:MEMORY_activation_to_entry,ASIA_CME->ASIA_CME,9,9,0,0,-0.031081894111800443,-0.015129138480932669,0
transition:MEMORY_activation_to_entry,LONDON->LONDON,9,9,0,0,0.0008490291186656895,0.003495216459513617,0
transition:MEMORY_origin_to_entry,ASIA_CME->ASIA_CME,9,9,0,0,-0.011422489276957881,-0.011305280677102597,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,ASIA_CME->ASIA_CME,14,9,0,0,-0.03807303965802751,-0.02801390961078737,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,ASIA_CME->ASIA_CME,14,9,0,0,-0.07644287031662994,-0.07565410615513357,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,TRANSITION->ASIA_CME,14,9,0,0,-0.016083319991007816,-0.013993732855686218,0
relevant_source_tf,D1,9,8,0,0,-0.0036546345207442085,0.0029130513193658496,0
relevant_variant,ASIA_CME_HIGH,9,8,0,0,-0.035332945379916145,-0.033804435392484775,0
relevant_variant,LONDON_HIGH,9,8,0,0,0.02847336485144462,0.02654429584625246,1
relevant_variant,NY_AM_HIGH,9,8,0,0,-0.04672965798346834,-0.05729362755320037,0
relevant_variant,NY_PM_HIGH,9,8,0,0,0.0045461136853551685,-0.00149416110776638,0
relevant_variant,PDH,9,8,0,0,-0.03580458973031367,-0.01862882332977185,0
relevant_variant,ROUND_5,9,8,0,0,-0.06661829911549509,-0.04031809245107254,2
relevant_variant,TRANSITION_LOW,9,8,0,0,0.0116327123634123,0.01568623172934981,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->ASIA_CME,14,8,0,0,-0.08275417886331389,-0.0931447191950257,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->LONDON,14,8,0,0,0.013343255419761533,0.0072175446303521275,1
transition:DISPLACEMENT_ORIGIN_activation_to_entry,LONDON->LONDON,14,8,0,0,-0.02929568282018453,-0.03187432363844949,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_PM,14,8,0,0,0.03150977646603092,0.029576950543497283,3
transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_PM,14,8,0,0,-0.01616080272208299,-0.006396041751510833,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->ASIA_CME,14,8,0,0,-0.08533161125867902,-0.09131386419730605,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->LONDON,14,8,0,0,0.014965951890611218,0.0023132572305595567,1
transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->NY_PM,14,8,0,0,-0.12328325441400048,-0.14121598357725743,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->LONDON,14,8,0,0,-0.03064454177147899,-0.037350924146011905,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->NY_PM,14,8,0,0,-0.017531658131914957,-0.019680186331157427,0
transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_PM->NY_PM,14,8,0,0,-0.02222866067487158,-0.021000433115680298,0
transition:MEMORY_activation_to_entry,TRANSITION->TRANSITION,9,8,0,0,-0.16144643834600553,-0.17972133327847695,1
transition:MEMORY_origin_to_entry,ASIA_CME->LONDON,9,8,0,0,0.032001411780633246,0.0420903182183957,0
transition:MEMORY_origin_to_entry,ASIA_CME->NY_AM,9,8,0,0,-0.015775041423469298,-0.041084246324190596,0
transition:MEMORY_origin_to_entry,LONDON->LONDON,9,8,0,0,-0.049149561695049485,-0.05282709403119541,0
transition:MEMORY_origin_to_entry,NY_AM->NY_PM,9,8,0,0,0.046623817591046335,0.03276306121031581,0
transition:MEMORY_origin_to_entry,TRANSITION->TRANSITION,9,8,0,0,-0.19134783069293665,-0.19464522764293085,1
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,ASIA_CME->NY_AM,14,8,0,0,0.00033257608887655825,0.01757658253046563,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,LONDON->ASIA_CME,14,8,0,0,-0.11613889796538523,-0.11950825249459185,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,LONDON->NY_PM,14,8,0,0,0.056780527549929405,0.05772434230219696,3
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_PM->LONDON,14,8,0,0,0.04021308080220349,0.02738158414385419,0
