date,primary_r,stress_r,n
2021-01-05,0.1799385762135015,0.13092730010046782,3
2021-01-06,-3.408191035586063,-3.5246065419730126,7
2021-01-07,-1.0463958252048386,-1.0817450253609064,2
2021-01-08,2.0274390243904232,2.011178861788796,1
2021-01-11,2.0051724137931566,1.9664203612479998,2
2021-01-12,-1.9365682022671824,-2.0198772090306782,5
2021-01-13,-1.4712682889661672,-1.5516065601307245,5
2021-01-14,2.891430018994898,2.835681637448888,3
2021-01-15,3.7432870370374256,3.709953703704091,2
2021-01-18,0.6222014925373575,0.6072761194030287,1
2021-01-19,-1.5110121230331135,-1.597123920531851,5
2021-01-20,-0.4828125000000998,-0.5173363095239083,2
2021-01-21,1.9722903842450432,1.865557153006589,6
2021-01-22,-0.023437499999998397,-0.041294642857140094,1
2021-01-25,-1.0961652884656596,-1.1403335505770995,3
2021-01-26,-0.2593882555673386,-0.28977001590668117,2
2021-01-27,2.485829959514067,2.4696356275302622,1
2021-01-28,-0.8862158462560041,-1.0655348294573197,11
2021-01-29,-5.430862601150394,-5.545165615350269,8
2021-02-01,-3.7972553991322915,-3.9008478384097893,6
2021-02-03,-1.0354144539106451,-1.0623968949854226,2
2021-02-05,-0.7556743421052625,-0.8039536943319827,3
2021-02-08,-1.021,-1.037,1
2021-02-09,0.5888728323700091,0.57731213872839,1
2021-02-10,2.471389732398693,2.4197472375311904,3
2021-02-11,0.1010802785113573,0.03428047541129205,4
2021-02-16,0.24329965311102664,0.12031166633241042,7
2021-02-17,-2.527802186204336,-2.5883936712598192,4
2021-02-18,-1.680844828268186,-1.7813642833462247,6
2021-02-19,2.3769254112744593,2.2313090122722334,9
2021-02-22,0.585693453425697,0.5060258974239561,5
2021-02-23,3.491152111063154,3.4612075587649365,2
2021-02-24,1.0881084215063763,1.0220118074221454,4
2021-02-25,0.7563353595958712,0.728817286763202,2
2021-02-26,2.7762008733622054,2.7587336244539093,1
2021-03-01,-5.116143510689201,-5.20463380454764,5
2021-03-02,-1.206260047852186,-1.2566702798480964,3
2021-03-03,1.0483259677780716,1.0177822219736403,2
2021-03-04,-3.0507703816246123,-3.0894525771481263,3
2021-03-05,3.0801265010176992,2.9952765860070802,6
2021-03-08,1.0869845360825134,1.0766752577319978,1
2021-03-09,-5.141094941192602,-5.248595848767918,7
2021-03-10,1.5905963302753159,1.5722477064221043,1
2021-03-11,-5.137809332011564,-5.242806918306088,6
2021-03-12,0.45290938888243537,0.38037905836954955,5
2021-03-15,0.4452401421771828,0.3814940542428289,4
2021-03-16,2.1769937101970482,2.0714690390510926,6
2021-03-17,2.3640139136463207,2.334800207962026,2
2021-03-18,-0.8133997501634016,-0.9143144795897085,6
2021-03-19,2.124605716081903,2.03213176707964,6
2021-03-22,-1.329651618643103,-1.4328294086714668,6
2021-03-23,2.120696827015645,2.056470241067533,4
2021-03-24,0.46393100077308524,0.425033446086057,3
2021-03-25,1.7737524257685164,1.7267210686616619,3
2021-03-26,2.533328121253561,2.471567063826871,4
2021-03-29,-1.076053304484657,-1.13399867933011,3
2021-03-30,-1.165950176366966,-1.2141571134627918,3
2021-03-31,-2.071930107935543,-2.1267339996959578,3
2021-04-06,-1.0227272727272743,-1.0400432900432925,1
2021-04-07,0.5688760330578034,0.5363471074379692,2
2021-04-08,1.243110236220344,1.2273622047242818,1
2021-04-12,2.588636363636364,2.5522727272727272,2
2021-04-13,-0.08911924119241321,-0.12315718157181799,2
2021-04-14,2.1662193781256613,2.0538733921194305,7
2021-04-15,1.1537903353819068,1.1156942334294817,2
2021-04-16,0.9132882882882256,0.8952702702702081,1
2021-04-19,-1.121512379896652,-1.1688660174607786,3
2021-04-20,-0.3443403744656982,-0.4118031956838131,4
2021-04-21,2.5554577464786914,2.5413732394364383,1
2021-04-22,0.27983816639397463,0.2112740302904017,5
2021-04-26,2.330359300358607,2.295860517853357,2
2021-04-27,1.7022357723578834,1.6859756097562564,1
2021-04-28,-0.5636057159470552,-0.6319366235675347,5
2021-04-29,0.7038339198426568,0.5762332354598922,8
2021-04-30,0.5715962441315091,0.5528169014085037,1
2021-05-03,0.22981925819198434,0.14308511806449264,5
2021-05-04,-5.458738635969733,-5.636825215756197,11
2021-05-05,-0.07497880557348502,-0.14187352434972128,4
2021-05-06,2.149242424242539,2.1128787878789015,2
2021-05-07,-1.002873015207363,-1.1377389454508617,8
2021-05-10,0.9032288959811507,0.854649976455756,3
2021-05-11,-0.35365513057951276,-0.41690307628979195,4
2021-05-13,2.0222299157825914,1.9898954928264372,2
2021-05-14,2.520935960591259,2.5012315270937218,1
2021-05-18,0.35158299287473627,0.2528202062445941,7
2021-05-19,-2.2208553575651613,-2.3387621009349036,7
2021-05-20,-2.044602272727274,-2.0785849567099595,2
2021-05-21,-1.6437212712840605,-1.754838450237553,6
2021-05-25,2.813998452720506,2.758068560443287,3
2021-05-26,0.7661637931033929,0.7489224137930486,1
2021-05-27,1.065082644628037,1.0485537190082028,1
2021-06-01,2.070223063181417,2.0254245894607514,3
2021-06-02,-0.2774356617648299,-0.3095435049020834,2
2021-06-03,2.473516949152757,2.4565677966103827,1
2021-06-04,-0.7257102702984658,-0.7904856071411125,4
2021-06-08,-1.188462643678219,-1.2368151340996745,3
2021-06-09,-0.31518381521190864,-0.3662180067266212,3
2021-06-10,-0.07761625327764177,-0.12677116116053133,3
2021-06-15,0.5077983725133977,0.45917470363656565,3
2021-06-16,4.154052839683391,4.119976635513731,2
2021-06-17,0.25555640858311435,0.22658759100733472,2
2021-06-18,0.8237459886587581,0.7599524054247084,4
2021-06-21,2.1125000000000003,2.094318181818182,1
2021-06-24,0.8490950409289955,0.7900697220635852,3
2021-06-25,-1.0387561857632257,-1.068284708249493,2
2021-07-01,1.3843305015827827,1.3147199815540742,4
2021-07-06,2.371244350942687,2.3395161290321376,2
2021-07-07,-0.712251126894831,-0.8325151045594743,8
2021-07-08,-0.7147645724773175,-0.7853844536543233,4
2021-07-12,0.7585836909871794,0.74141630901293,1
2021-07-13,2.6948713445518258,2.6262345371499913,4
2021-07-14,0.2984340521816393,0.20178594666004734,6
2021-07-15,2.283779413167716,2.1703150241111584,7
2021-07-16,-0.6730470442773959,-0.8005946111782803,8
2021-07-19,2.9506048387097934,2.9344758064517285,1
2021-07-20,-0.015867840415946022,-0.08805399765338517,4
2021-07-27,2.280398861992668,2.185744239198521,6
2021-07-28,0.7112994350282487,0.6850417002959377,2
2021-07-29,-3.0698296137821632,-3.123033129044764,3
2021-08-02,2.5821056712448014,2.547694210603834,2
2021-08-03,-0.34250468869795037,-0.39318585107156623,3
2021-08-04,0.9562703944486276,0.8894224466763897,4
2021-08-06,-0.22272896909039108,-0.2602245785038083,2
2021-08-09,-0.47046337458452503,-0.49972632731257516,2
2021-08-10,0.3844029823339783,0.34142177587154177,3
2021-08-11,-0.4480202760996823,-0.5938558086555099,8
2021-08-12,3.177504985044858,3.126604717810033,3
2021-08-16,0.5940988835724808,0.5609250398723226,2
2021-08-17,2.087883959044446,2.0742320819113393,1
2021-08-18,2.687810327706065,2.6513985435286402,2
2021-08-19,-7.151880953251899,-7.267599774777157,8
2021-08-20,-0.9503104489788546,-1.0573901033772204,6
2021-08-23,1.4259708737865793,1.4065533980584226,1
2021-08-25,-0.13563567394712928,-0.16904385248696596,2
2021-08-26,1.3484533790240938,1.303286736031363,3
2021-08-27,-2.040539345711758,-2.0714264662540502,2
2021-09-02,-0.7468975105891638,-0.8185077535506485,4
2021-09-07,0.1450382838231612,0.07492646852052753,4
2021-09-08,0.4427648125385294,0.3346912855100156,7
2021-09-09,-2.1099721476252054,-2.193760450577743,5
2021-09-10,-2.2587117698841634,-2.323687035078006,4
2021-09-13,-3.3164949981872365,-3.4283848716976917,7
2021-09-14,-1.2437638136862672,-1.3669302674378228,8
2021-09-15,2.1760758961914073,2.13742765123248,2
2021-09-16,2.5308162745343434,2.4924921630213253,3
2021-09-17,2.853596294620705,2.663530924361437,11
2021-09-20,-3.7873916612087077,-3.9080464445566627,8
2021-09-21,1.4521732365146391,1.4155757261411943,2
2021-09-22,1.1398853761370276,1.0884830710789077,3
2021-09-23,-2.06620611954459,-2.1166488772928496,3
2021-09-24,1.7855604307938364,1.7498205025927986,2
2021-09-27,1.1499800460071297,1.1047821187124511,3
2021-09-28,-2.501993785870284,-2.704372074489972,13
2021-09-29,-2.0610018276260123,-2.1074794105791645,3
2021-09-30,0.7297008547007471,0.712606837606731,1
2021-10-01,-0.5680428168801583,-0.705241030442582,8
2021-10-04,-0.1831615420452537,-0.21849037192334952,2
2021-10-05,0.5405721373961323,0.43066210125658533,6
2021-10-06,-4.1277171774576615,-4.225025503139689,6
2021-10-07,0.5036407766991354,0.48422330097097865,1
2021-10-08,-1.025362318840579,-1.0446859903381627,1
2021-10-11,-2.0494733924611968,-2.0871674057649665,2
2021-10-12,-2.043600955916002,-2.076820731852003,2
2021-10-13,0.8617478510027877,0.8502865329512123,1
2021-10-14,-0.5327458947791063,-0.5857981924405571,3
2021-10-15,0.7044392523363326,0.6857476635512872,1
2021-10-18,1.199760765550086,1.1806220095692261,1
2021-10-20,2.6951754864918867,2.65778496079682,2
2021-10-22,1.0573182939496737,0.9921339758762006,4
2021-10-25,-0.24504910999230867,-0.2787346642083218,2
2021-10-26,-0.5556497827657305,-0.6236742168696009,4
2021-10-27,1.3884550415801258,1.358413461538545,2
2021-10-28,1.9952290076335044,1.9799618320609857,1
2021-11-01,-0.05889243183450854,-0.09116938895040483,2
2021-11-02,-1.361923565722584,-1.4313256475429657,4
2021-11-03,0.8799694189602028,0.8677370030580623,1
2021-11-04,2.599526921576344,2.5641777214202763,2
2021-11-05,1.1918859649123508,1.1743421052632272,1
2021-11-08,0.728318769211137,0.6961328634192832,2
2021-11-09,2.05120481927693,2.0351405622488183,1
2021-11-10,3.908820346320458,3.875631313131424,2
2021-11-11,0.7824460853505221,0.7289092526313186,3
2021-11-12,2.997227731598441,2.9429047259927223,3
2021-11-15,2.1062111801241823,2.0554175293305326,3
2021-11-16,-0.050239234449757225,-0.08851674641147704,2
2021-11-17,1.440863095238161,1.4089583333333984,2
2021-11-18,0.9147196261680941,0.8960280373830487,1
2021-11-19,1.778958158995704,1.7462217573220646,2
2021-11-22,-2.391722536783143,-2.5094075661480284,7
2021-11-23,1.5950019346109965,1.4700817017742953,8
2021-11-24,-0.2813258875929979,-0.32362641024447214,3
2021-11-26,-1.3573731445544088,-1.4379363122697517,5
2021-11-29,-2.800028919503956,-2.9617995872914324,9
2021-11-30,2.267399404020801,2.191441248725673,5
2021-12-01,2.22054707776999,2.188713687107366,2
2021-12-02,2.9757359444793874,2.931581835185332,3
2021-12-03,2.5663605844272936,2.519440936389633,4
