datetime,open,high,low,close,volume
2026-07-28 00:09:00,28013.5,28016.25,28007.5,28008.25,0
2026-07-28 00:10:00,28006.75,28012.75,28002.5,28006.25,112
2026-07-28 00:11:00,28006.25,28011.75,28003.75,28007.5,61
2026-07-28 00:12:00,28007.0,28007.0,27991.5,27994.5,143
2026-07-28 00:13:00,27994.5,27998.75,27992.0,27994.75,72
2026-07-28 00:14:00,27994.0,27994.0,27978.0,27986.75,131
2026-07-28 00:15:00,27986.0,27988.0,27976.5,27984.75,190
2026-07-28 00:16:00,27990.75,27996.25,27980.0,27995.0,134
2026-07-28 00:17:00,27993.75,28002.5,27989.5,27994.25,157
2026-07-28 00:18:00,27992.5,27998.75,27986.5,27998.25,64
2026-07-28 00:19:00,27997.75,28013.5,27994.75,28013.25,121
2026-07-28 00:20:00,28011.0,28017.0,27988.0,27988.25,120
2026-07-28 00:21:00,27988.0,27990.0,27981.75,27981.75,101
2026-07-28 00:22:00,27981.25,27985.75,27980.5,27984.25,39
2026-07-28 00:23:00,27982.25,27987.75,27972.0,27973.25,142
2026-07-28 00:24:00,27973.5,27977.75,27970.0,27973.5,173
2026-07-28 00:25:00,27976.0,27983.0,27972.0,27977.0,94
2026-07-28 00:26:00,27976.25,27981.75,27971.0,27981.75,52
2026-07-28 00:27:00,27984.0,27984.25,27972.5,27977.25,62
2026-07-28 00:28:00,27976.5,27982.0,27972.75,27976.25,76
2026-07-28 00:29:00,27976.0,27982.5,27972.75,27974.0,29
2026-07-28 00:30:00,27972.75,27974.75,27966.25,27967.25,159
2026-07-28 00:31:00,27969.25,27980.5,27968.0,27969.25,79
2026-07-28 00:32:00,27968.0,27968.75,27962.0,27963.75,109
2026-07-28 00:33:00,27964.25,27971.25,27963.75,27970.5,79
2026-07-28 00:34:00,27971.5,27975.75,27964.5,27970.0,103
2026-07-28 00:35:00,27971.75,27976.5,27965.75,27970.25,59
2026-07-28 00:36:00,27970.5,27974.5,27960.0,27963.5,62
2026-07-28 00:37:00,27965.0,27977.0,27965.0,27968.25,73
2026-07-28 00:38:00,27968.25,27978.5,27967.0,27978.5,38
2026-07-28 00:39:00,27980.0,27983.0,27972.25,27979.0,53
2026-07-28 00:40:00,27975.25,27977.0,27964.5,27975.5,73
2026-07-28 00:41:00,27976.75,27981.75,27968.0,27977.75,57
2026-07-28 00:42:00,27978.75,27984.0,27972.0,27972.75,65
2026-07-28 00:43:00,27972.25,27976.25,27969.25,27970.5,55
2026-07-28 00:44:00,27971.25,27975.25,27969.5,27974.25,22
2026-07-28 00:45:00,27974.25,27985.75,27974.25,27981.0,73
2026-07-28 00:46:00,27983.0,27999.25,27981.0,27990.5,286
2026-07-28 00:47:00,27991.25,28003.0,27988.25,27991.0,135
2026-07-28 00:48:00,27990.5,27990.5,27971.0,27973.5,117
2026-07-28 00:49:00,27975.75,27982.5,27973.25,27975.0,57
2026-07-28 00:50:00,27977.5,27977.5,27965.75,27972.25,58
2026-07-28 00:51:00,27971.0,27974.0,27965.0,27965.5,55
2026-07-28 00:52:00,27966.5,27968.75,27962.75,27963.25,43
2026-07-28 00:53:00,27965.0,27966.25,27953.75,27955.5,128
2026-07-28 00:54:00,27954.75,27964.25,27954.75,27963.75,58
2026-07-28 00:55:00,27962.25,27967.5,27958.5,27961.25,50
2026-07-28 00:56:00,27960.5,27970.0,27957.25,27966.5,60
2026-07-28 00:57:00,27965.25,27965.25,27954.75,27960.0,47
2026-07-28 00:58:00,27959.0,27960.25,27952.0,27952.75,57
2026-07-28 00:59:00,27952.75,27958.0,27951.0,27954.75,60
2026-07-28 01:00:00,27956.25,27972.0,27949.0,27969.0,173
2026-07-28 01:01:00,27969.5,27982.0,27968.75,27974.0,106
2026-07-28 01:02:00,27973.0,27981.0,27966.5,27981.0,66
2026-07-28 01:03:00,27980.25,27982.0,27975.0,27979.5,59
2026-07-28 01:04:00,27976.0,27983.0,27971.75,27971.75,67
2026-07-28 01:05:00,27972.0,27973.5,27962.25,27962.75,74
2026-07-28 01:06:00,27961.5,27964.25,27949.25,27959.25,140
2026-07-28 01:07:00,27960.75,27972.0,27958.75,27958.75,78
2026-07-28 01:08:00,27959.0,27965.0,27958.75,27963.0,57
2026-07-28 01:18:00,28190.0,28190.0,27945.0,27946.0,723
2026-07-28 01:19:00,27947.75,27948.5,27939.0,27939.0,92
2026-07-28 01:20:00,27938.5,27947.0,27936.25,27942.75,112
2026-07-28 01:21:00,27942.5,27943.0,27935.25,27936.75,89
2026-07-28 01:22:00,27935.0,27937.25,27926.0,27931.75,179
2026-07-28 01:23:00,27930.0,27938.0,27924.5,27936.0,113
2026-07-28 01:24:00,27937.0,27941.0,27932.0,27933.25,56
2026-07-28 01:25:00,27931.5,27932.25,27923.0,27924.0,113
2026-07-28 01:26:00,27925.75,27926.5,27914.0,27924.75,277
2026-07-28 01:27:00,27925.75,27927.25,27918.0,27923.75,182
