candidate,L,use_rsi,eligible,score,n,mean,sum,pf,max_dd,positive_years,active_years,losing_streak
L16_RAW,16,False,False,-999.0,7487,-0.19709213185877664,-1475.6287912266607,0.7127926415163465,1475.6287912266555,0,4,19
L16_RSI,16,True,False,-999.0,3932,-0.1634662563168271,-642.7493198377641,0.7582692462453342,643.2762655251094,0,4,14
L32_RAW,32,False,False,-999.0,4960,-0.17822980928604515,-884.019854058784,0.7399614031857691,884.0198540587817,0,4,21
L32_RSI,32,True,False,-999.0,2640,-0.14364356915597323,-379.21902257176936,0.7876171360184854,380.984045147488,0,4,14
