timestamp,open,high,low,close,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,spread,gap_abs,gap_pct,ret1_abs,range,bid_gap_abs,ask_gap_abs
2013-12-05 13:29:00+00:00,1229.7165,1230.1505,1228.4545,1229.071,1229.573,1229.753,1227.594,1227.594,1229.86,1230.548,1229.315,1230.548,2.953999999999951,0.015000000000100044,1.219808221759512e-05,0.0005127260558761559,1.6959999999999127,0.03000000000020009,0.0
2013-05-02 12:29:00+00:00,1465.202,1465.8515000000002,1463.8215,1464.8265,1465.052,1465.352,1462.732,1463.354,1465.352,1466.351,1464.911,1466.299,2.9449999999999363,0.09950000000003456,6.791333712148779e-05,0.00018838272407561973,2.0300000000002,0.09999999999990905,0.09900000000016007
2013-10-04 20:59:00+00:00,1310.7765,1310.857,1310.7765,1310.7905,1309.304,1309.387,1309.304,1309.318,1312.249,1312.327,1312.249,1312.263,2.9449999999999363,0.035499999999956344,2.7082449657125773e-05,1.640204697528347e-05,0.0805000000000291,0.038000000000010914,0.032999999999901775
2013-10-04 21:00:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:01:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:02:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:03:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:04:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:05:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:06:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:07:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:08:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:09:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:10:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:11:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:12:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:13:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:14:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:15:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:16:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:17:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:18:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:19:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:20:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:21:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:22:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:23:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:24:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:25:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:26:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:27:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:28:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:29:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:30:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:31:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-04 21:32:00+00:00,1310.7905,1310.7905,1310.7905,1310.7905,1309.318,1309.318,1309.318,1309.318,1312.263,1312.263,1312.263,1312.263,2.9449999999999363,0.0,0.0,0.0,0.0,0.0,0.0
