window,variant,gap_v,zone_count_mean,count_reduced_share,width_v_median,width_v_p90,contacts,br_fired,br_share,tp1_rate,invalidation_rate,scored_n,positive_rate,auc,ap,E80_n,E80_rate,E90_n,E90_rate
H1,BASELINE,,2.188902304054734,0.0,0.2613354037268275,0.7587882503942021,16895,7127,0.4218407812962415,0.3143902095934731,0.6269517513011675,7109,0.3143902095934731,0.7999365670374421,0.6439743473724805,1422,0.680731364275668,712,0.773876404494382
H1,G010,0.1,1.8399738404266022,0.3087835798370057,0.31254147312570607,0.9684773742651692,13820,6068,0.4390738060781476,0.321605550049554,0.6197555335315494,6054,0.321605550049554,0.7988649541558384,0.6512375872653546,1304,0.6725460122699386,669,0.7683109118086696
H1,G020,0.2,1.6154039641815072,0.4645839621692323,0.43740083976120003,1.182142857142794,11778,5404,0.4588215316692138,0.33370432201817846,0.6080504544611389,5391,0.33370432201817846,0.7991344176608881,0.657848886290451,1238,0.678513731825525,665,0.762406015037594
H1,G025,0.25,1.5214810343092866,0.517003722708522,0.5116811594205957,1.292426874467022,10971,5141,0.46859903381642515,0.3361279001754728,0.6049912263599142,5129,0.3361279001754728,0.7984726296459077,0.6572876813426667,1215,0.6781893004115226,667,0.7556221889055472
H1,G030,0.3,1.4451152027366938,0.55745044773116,0.5544859765715766,1.3876259757529628,10269,4917,0.47881974875839906,0.33808844507845937,0.6013857754228653,4907,0.33808844507845937,0.7958756833156658,0.6563217741183427,1196,0.6722408026755853,664,0.7530120481927711
H1,G040,0.4,1.3171848274474294,0.6186739108562229,0.6508670520232323,1.5716705464496896,9123,4524,0.4958895100295955,0.345813026140895,0.5912715994683208,4514,0.345813026140895,0.7976741315414914,0.6647343471529291,1171,0.6789069171648164,670,0.746268656716418
H1,G050,0.5,1.22049501961968,0.6568568266425193,0.7941100426121134,1.7000000000002728,8258,4228,0.5119883749091789,0.35260663507109,0.5819905213270142,4220,0.35260663507109,0.7991216210897527,0.6763044567120037,1157,0.6810717372515125,684,0.7514619883040936
H2,BASELINE,,2.210087331959572,0.0,0.2612348450075235,0.7679899301197768,17578,7643,0.43480486972351806,0.3012963205447165,0.6448867356291738,7637,0.3012963205447165,0.7911069725893246,0.6072838283395393,1306,0.6707503828483921,565,0.7292035398230089
H2,G010,0.1,1.86257482092042,0.30968501619075656,0.31004847373264216,0.9732503642727005,14353,6516,0.4539817459764509,0.3119815668202765,0.6333333333333333,6510,0.3119815668202765,0.7885693166941652,0.6115449103395064,1203,0.6666666666666666,538,0.7267657992565055
H2,G020,0.2,1.6292807379059955,0.4700716318320086,0.44146778140283804,1.192295429121703,12243,5806,0.4742301723433799,0.31937263012754225,0.6244398483281627,5802,0.31937263012754225,0.7900754861942545,0.6224271047499936,1160,0.6681034482758621,555,0.736936936936937
H2,G025,0.25,1.5359140418015897,0.5234030026493965,0.5151391162030488,1.2993467101705958,11434,5533,0.48390764386916213,0.31976849339844454,0.6238017724724182,5529,0.31976849339844454,0.7880297732984753,0.6200122017136602,1129,0.66696191319752,548,0.7317518248175182
H2,G030,0.3,1.4594249828279855,0.5628986360514179,0.5609368788863285,1.3999383663380145,10735,5290,0.4927806241266884,0.3267120696178585,0.6163450624290578,5286,0.3267120696178585,0.7846702936177364,0.621642839921403,1114,0.6651705565529623,550,0.7290909090909091
H2,G040,0.4,1.3249435776665686,0.6264350897851045,0.6632963988917842,1.6058055313904294,9489,4845,0.5105912108757509,0.33402146985962017,0.6073492981007432,4844,0.33402146985962017,0.7873236382084072,0.6249322835384334,1105,0.669683257918552,573,0.7242582897033158
H2,G050,0.5,1.2252477676381122,0.6675497988421156,0.798973185088298,1.7292947844787585,8491,4495,0.5293840537039218,0.3442367601246106,0.5963506898086337,4494,0.3442367601246106,0.789290172491434,0.6379950047116515,1098,0.6775956284153005,596,0.7315436241610739
