year,scenario,scenario_role,spread_usd,commission_rt_usd,sample,entry_model,risk_rule,vol_floor_k,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R,pf_net,median_risk_price,min_risk_price,median_entry_delay_minutes,sum_net_R
2011,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,14,21.428571428571427,78.57142857142857,0.0,50.0,-0.8603293828449441,0.1107451487643801,-0.996381835278648,0.0844361631566042,0.5185170906095209,0.2040000000001782,6.0,-13.949345693901073
2012,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,11,27.27272727272727,72.72727272727273,0.0,36.36363636363637,-0.5909090909090772,0.1875000000000189,-0.6959704044609716,0.1330416510339671,0.5605000000000473,0.2446730254532667,7.0,-7.655674449070688
2013,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,13,69.23076923076923,30.76923076923077,0.0,7.6923076923076925,0.0384615384615643,1.1250000000000844,-0.0449100993662996,0.8627421125846811,0.8309772602012799,0.3550000000002455,6.0,-0.5838312917618949
2014,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,15,60.0,40.0,0.0,13.333333333333334,-0.1037761757638169,0.7429858867539263,-0.2355971567372622,0.4826644904171231,0.4855000000002292,0.2590000000000145,8.0,-3.533957351058933
2015,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,8,37.5,62.5,0.0,50.0,-0.4374999999998685,0.3000000000002104,-0.6118962026318253,0.1617732744680683,0.3363738436611356,0.2379070585072895,5.0,-4.8951696210546025
2016,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,16,18.75,81.25,0.0,37.5,-0.7187499999999791,0.1153846153846409,-0.859232416582987,0.0855822821241202,0.4643277807183494,0.2190000000000509,6.0,-13.747718665327792
2017,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,21,52.38095238095239,47.61904761904761,0.0,28.57142857142857,-0.2142857142857355,0.5499999999999555,-0.3572366346193511,0.3536861203602293,0.4184999999999945,0.2085000000001855,6.0,-7.501969327006374
2018,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,14,50.0,50.0,0.0,7.142857142857142,-0.2500000000000388,0.4999999999999223,-0.4228098587284457,0.2973455459360767,0.3832500000002028,0.20900000000006,8.0,-5.91933802219824
2019,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,12,33.33333333333333,66.66666666666666,0.0,33.33333333333333,-0.4999999999999537,0.2500000000000694,-0.6244586493119667,0.1703546981443128,0.5821761357302648,0.2149999999999181,8.0,-7.4935037917436
2020,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,19,52.63157894736842,47.368421052631575,0.0,31.57894736842105,-0.2105263157894854,0.5555555555555307,-0.2929807893040285,0.4505530718481335,1.394234325660591,0.2450000000001182,7.0,-5.566634996776543
2021,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,9,22.22222222222222,77.77777777777779,0.0,55.55555555555556,-0.6666666666666765,0.1428571428571301,-0.7616380190372046,0.119307476290052,0.6488774128752084,0.2864999999999327,6.0,-6.854742171334841
2022,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,13,46.15384615384615,53.84615384615385,0.0,38.46153846153847,-0.3076923076922445,0.4285714285715459,-0.4030942434385973,0.3068597562777732,0.7765959681946697,0.2755757321631336,5.0,-5.240225164701766
2023,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,12,50.0,50.0,0.0,33.33333333333333,-0.2499999999999771,0.5000000000000457,-0.3487054079437963,0.3634920866796031,0.5382786362586103,0.4220788168147464,8.0,-4.184464895325555
2024,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,18,33.33333333333333,66.66666666666666,0.0,38.88888888888889,-0.5055653906675347,0.2479302568931697,-0.610477763763049,0.1844563901709172,0.5434040510160685,0.2649999999998726,7.0,-10.98859974773488
2025,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,13,38.46153846153847,61.53846153846154,0.0,38.46153846153847,-0.4244183553018926,0.3118202856082954,-0.4619762015760087,0.2813665129957957,1.7661097312447964,0.561949143972015,5.0,-6.005690620488114
2011,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,14,21.428571428571427,78.57142857142857,0.0,50.0,-0.8613336855652755,0.1106303068975275,-0.9908806841696256,0.0848651518007195,0.5185170906095209,0.22400000000016,6.0,-13.87232957837476
2012,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,11,27.27272727272727,72.72727272727273,0.0,36.36363636363637,-0.5909090909090772,0.1875000000000189,-0.6939909508619031,0.1341177236581017,0.5805000000000291,0.2525000000000545,7.0,-7.633900459480934
2013,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,13,69.23076923076923,30.76923076923077,0.0,7.6923076923076925,0.0384615384615163,1.1249999999999285,-0.0438684910843459,0.865925560279356,0.8309772602012799,0.3750000000002274,6.0,-0.5702903840964975
2014,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,15,53.333333333333336,46.66666666666666,0.0,13.333333333333334,-0.2016485328058071,0.5694170656152878,-0.329384315213506,0.3717359100793304,0.505500000000211,0.2789999999999963,8.0,-4.9407647282025895
2015,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,8,37.5,62.5,0.0,50.0,-0.4375000000000682,0.2999999999998908,-0.6038044383373004,0.1684899427558386,0.3463738436611265,0.2575000000001637,5.0,-4.830435506698403
2016,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,0.5,16,12.5,87.5,0.0,43.75,-0.812499999999998,0.0714285714285737,-0.9472041376635216,0.0517181146382418,0.4643277807183494,0.2390000000000327,7.0,-15.155266202616344
