sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,0.5,14,28.57142857142857,71.42857142857143,0.0,7.142857142857142,-0.6159044971854856,0.1882767068312945,-0.8115055336506346,0.10892028464000862,-0.909306051883209,0.07840717616018514,1.1269999999999527,6.5,0.19532062391681965,-8.622662960596799,-11.361077471108885,-12.730284726364927
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.0,14,28.57142857142857,71.42857142857143,0.0,7.142857142857142,-0.47304735432833694,0.37655341366260425,-0.6686483907934863,0.26578563788243387,-0.7664489090260603,0.22319464064339445,1.1269999999999527,6.5,0.19532062391681965,-6.622662960596717,-9.361077471108807,-10.730284726364845
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.5087616400426168,0.38717461009202725,-0.7043626765077659,0.2873383023567631,-0.8021631947403405,0.24851488365195165,1.1269999999999527,6.5,0.19532062391681965,-7.122662960596636,-9.861077471108722,-11.230284726364767
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.4016187828997655,0.516232813456027,-0.5972198193649145,0.3957435501196737,-0.6950203375974892,0.3488888013208133,1.1269999999999527,6.5,0.19532062391681965,-5.622662960596717,-8.361077471108803,-9.730284726364848
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.5,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.29447592575691417,0.6452910168200268,-0.49007696222206315,0.5041487978825844,-0.5878774804546377,0.4492627189896749,1.1269999999999527,6.5,0.19532062391681965,-4.122662960596799,-6.861077471108884,-8.230284726364928
DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,3.0,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.18733306861405122,0.7743492201840406,-0.3829341050792003,0.6125540456455066,-0.4807346233117748,0.5496366366585475,1.1269999999999527,6.5,0.19532062391681965,-2.622662960596717,-5.361077471108804,-6.7302847263648475
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,0.5,932,51.18025751072961,26.180257510729614,22.63948497854077,0.0,-0.04638976936468814,0.8516039564465562,-0.10200629007810967,0.6954626247542262,-0.1298145504348204,0.6250376705377669,4.3399999999998045,1.0,0.05069128729961561,-43.23526504788934,-95.06986235279821,-120.98716100525262
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.0,932,28.6480686695279,33.90557939914164,37.446351931330476,0.0,-0.06331696225235127,0.8429847934126324,-0.1189334829657728,0.725350447551264,-0.14674174332248358,0.6725803368945105,4.3399999999998045,1.0,0.05069128729961561,-59.01140881919139,-110.84600612410026,-136.7633047765547
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,1.5,932,17.381974248927037,35.836909871244636,46.78111587982833,0.0,-0.05141007882486151,0.87922772310393,-0.10702659953828304,0.7660376577524046,-0.1348348598949938,0.7153729201937908,4.3399999999998045,1.0,0.05069128729961561,-47.914193464770925,-99.7487907696798,-125.66608942213423
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.0,932,10.300429184549357,37.76824034334764,51.931330472103,0.0,-0.08323847440342803,0.8134756318787076,-0.13885499511684954,0.7107291892868899,-0.16666325547356034,0.6648819174726724,4.3399999999998045,1.0,0.05069128729961561,-77.57825814399493,-129.41285544890377,-155.33015410135823
