scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
STRESS,2026-06-29 13:00:00-04:00,2026-06-29 15:59:00-04:00,long,29934.25,30045.75,2230.0,5.0,2225.0,111.5,111.25,eod
STRESS,2026-06-30 10:00:00-04:00,2026-06-30 15:59:00-04:00,long,30316.25,30513.0,3935.0,5.0,3930.0,196.75,196.5,eod
STRESS,2026-07-02 10:00:00-04:00,2026-07-02 10:30:00-04:00,long,30248.75,29953.75,-5900.0,5.0,-5905.0,-295.0,-295.25,trail
STRESS,2026-07-02 11:00:00-04:00,2026-07-02 15:59:00-04:00,short,29842.0,29538.75,6065.0,5.0,6060.0,303.25,303.0,eod
STRESS,2026-07-06 10:30:00-04:00,2026-07-06 12:30:00-04:00,long,30024.5,30027.25,55.0,5.0,50.0,2.75,2.5,trail
STRESS,2026-07-07 10:30:00-04:00,2026-07-07 12:00:00-04:00,short,29310.5,29399.25,-1775.0,5.0,-1780.0,-88.75,-89.0,trail
STRESS,2026-07-09 13:30:00-04:00,2026-07-09 15:30:00-04:00,long,29985.5,29913.5,-1440.0,5.0,-1445.0,-72.0,-72.25,trail
STRESS,2026-07-13 14:30:00-04:00,2026-07-13 15:00:00-04:00,short,29456.25,29483.5,-545.0,5.0,-550.0,-27.25,-27.5,trail
STRESS,2026-07-13 15:30:00-04:00,2026-07-13 15:59:00-04:00,short,29438.0,29467.5,-590.0,5.0,-595.0,-29.5,-29.75,eod
STRESS,2026-07-15 11:00:00-04:00,2026-07-15 11:30:00-04:00,short,29616.0,29627.0,-220.0,5.0,-225.0,-11.0,-11.25,trail
STRESS,2026-07-15 12:00:00-04:00,2026-07-15 13:30:00-04:00,short,29580.0,29615.25,-705.0,5.0,-710.0,-35.25,-35.5,trail
STRESS,2026-07-16 14:30:00-04:00,2026-07-16 15:59:00-04:00,short,29250.25,29217.5,655.0,5.0,650.0,32.75,32.5,eod
STRESS,2026-07-23 11:00:00-04:00,2026-07-23 12:00:00-04:00,short,28586.25,28598.25,-240.0,5.0,-245.0,-12.0,-12.25,trail
STRESS,2026-07-24 10:00:00-04:00,2026-07-24 11:00:00-04:00,short,28373.0,28467.75,-1895.0,5.0,-1900.0,-94.75,-95.0,trail
STRESS,2026-07-24 14:30:00-04:00,2026-07-24 15:59:00-04:00,short,28332.75,28283.75,980.0,5.0,975.0,49.0,48.75,eod
STRESS,2026-07-27 10:30:00-04:00,2026-07-27 12:30:00-04:00,short,28073.25,28176.75,-2070.0,5.0,-2075.0,-103.5,-103.75,trail
STRESS,2026-07-27 13:00:00-04:00,2026-07-27 15:00:00-04:00,short,28048.75,28175.0,-2525.0,5.0,-2530.0,-126.25,-126.5,trail
STRESS,2026-07-28 10:00:00-04:00,2026-07-28 11:00:00-04:00,short,27726.5,27833.25,-2135.0,5.0,-2140.0,-106.75,-107.0,trail
STRESS,2026-07-29 10:00:00-04:00,2026-07-29 14:00:00-04:00,short,27752.25,27853.5,-2025.0,5.0,-2030.0,-101.25,-101.5,trail
STRESS,2026-07-30 10:00:00-04:00,2026-07-30 11:00:00-04:00,long,28156.25,28026.5,-2595.0,5.0,-2600.0,-129.75,-130.0,trail
STRESS,2026-07-30 12:00:00-04:00,2026-07-30 15:59:00-04:00,long,28070.5,28228.5,3160.0,5.0,3155.0,158.0,157.75,eod
