scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
PRIMARY,2026-04-29 11:00:00-04:00,2026-04-29 11:30:00-04:00,long,27306.75,27285.0,-435.0,5.0,-440.0,-21.75,-22.0,trail
PRIMARY,2026-04-30 10:00:00-04:00,2026-04-30 11:00:00-04:00,short,27258.5,27382.75,-2485.0,5.0,-2490.0,-124.25,-124.5,trail
PRIMARY,2026-05-01 10:00:00-04:00,2026-05-01 15:00:00-04:00,long,27866.25,27820.5,-915.0,5.0,-920.0,-45.75,-46.0,trail
PRIMARY,2026-05-01 15:30:00-04:00,2026-05-01 15:59:00-04:00,long,27891.0,27837.0,-1080.0,5.0,-1085.0,-54.0,-54.25,eod
PRIMARY,2026-05-04 13:00:00-04:00,2026-05-04 13:30:00-04:00,short,27716.75,27793.75,-1540.0,5.0,-1545.0,-77.0,-77.25,trail
PRIMARY,2026-05-05 10:00:00-04:00,2026-05-05 15:59:00-04:00,long,28073.5,28135.5,1240.0,5.0,1235.0,62.0,61.75,eod
PRIMARY,2026-05-06 10:00:00-04:00,2026-05-06 10:30:00-04:00,long,28467.25,28434.75,-650.0,5.0,-655.0,-32.5,-32.75,trail
PRIMARY,2026-05-06 11:00:00-04:00,2026-05-06 15:59:00-04:00,long,28541.25,28710.0,3375.0,5.0,3370.0,168.75,168.5,eod
PRIMARY,2026-05-07 10:30:00-04:00,2026-05-07 11:30:00-04:00,long,28867.75,28871.5,75.0,5.0,70.0,3.75,3.5,trail
PRIMARY,2026-05-08 10:00:00-04:00,2026-05-08 15:59:00-04:00,long,29103.75,29339.5,4715.0,5.0,4710.0,235.75,235.5,eod
PRIMARY,2026-05-11 12:00:00-04:00,2026-05-11 13:00:00-04:00,long,29469.25,29422.0,-945.0,5.0,-950.0,-47.25,-47.5,trail
PRIMARY,2026-05-12 10:00:00-04:00,2026-05-12 15:30:00-04:00,short,29120.0,29076.25,875.0,5.0,870.0,43.75,43.5,trail
PRIMARY,2026-05-13 13:00:00-04:00,2026-05-13 15:59:00-04:00,long,29466.75,29475.75,180.0,5.0,175.0,9.0,8.75,eod
PRIMARY,2026-05-14 10:00:00-04:00,2026-05-14 13:30:00-04:00,long,29592.5,29661.0,1370.0,5.0,1365.0,68.5,68.25,trail
PRIMARY,2026-05-14 14:00:00-04:00,2026-05-14 15:59:00-04:00,long,29697.5,29686.5,-220.0,5.0,-225.0,-11.0,-11.25,eod
PRIMARY,2026-05-15 10:00:00-04:00,2026-05-15 10:30:00-04:00,short,29155.75,29310.75,-3100.0,5.0,-3105.0,-155.0,-155.25,trail
PRIMARY,2026-05-18 11:30:00-04:00,2026-05-18 15:59:00-04:00,short,28946.0,29099.0,-3060.0,5.0,-3065.0,-153.0,-153.25,eod
PRIMARY,2026-05-20 10:30:00-04:00,2026-05-20 12:30:00-04:00,long,29239.5,29236.0,-70.0,5.0,-75.0,-3.5,-3.75,trail
PRIMARY,2026-05-20 13:30:00-04:00,2026-05-20 15:59:00-04:00,long,29292.0,29396.0,2080.0,5.0,2075.0,104.0,103.75,eod
PRIMARY,2026-05-26 10:00:00-04:00,2026-05-26 11:30:00-04:00,long,30007.0,29987.25,-395.0,5.0,-400.0,-19.75,-20.0,trail
PRIMARY,2026-05-27 10:30:00-04:00,2026-05-27 11:30:00-04:00,short,29929.25,29967.25,-760.0,5.0,-765.0,-38.0,-38.25,trail
PRIMARY,2026-05-28 11:00:00-04:00,2026-05-28 15:59:00-04:00,long,30210.75,30306.0,1905.0,5.0,1900.0,95.25,95.0,eod
PRIMARY,2026-05-29 10:00:00-04:00,2026-05-29 10:30:00-04:00,long,30527.0,30419.5,-2150.0,5.0,-2155.0,-107.5,-107.75,trail
PRIMARY,2026-06-01 13:00:00-04:00,2026-06-01 15:59:00-04:00,long,30579.5,30571.0,-170.0,5.0,-175.0,-8.5,-8.75,eod
PRIMARY,2026-06-03 10:00:00-04:00,2026-06-03 10:30:00-04:00,short,30610.25,30715.5,-2105.0,5.0,-2110.0,-105.25,-105.5,trail
PRIMARY,2026-06-05 10:00:00-04:00,2026-06-05 15:59:00-04:00,short,29783.75,29016.0,15355.0,5.0,15350.0,767.75,767.5,eod
PRIMARY,2026-06-08 11:00:00-04:00,2026-06-08 11:30:00-04:00,long,29675.25,29586.5,-1775.0,5.0,-1780.0,-88.75,-89.0,trail
PRIMARY,2026-06-09 11:00:00-04:00,2026-06-09 15:00:00-04:00,short,29233.25,29042.75,3810.0,5.0,3805.0,190.5,190.25,trail
PRIMARY,2026-06-09 15:30:00-04:00,2026-06-09 15:59:00-04:00,short,28961.5,29115.5,-3080.0,5.0,-3085.0,-154.0,-154.25,eod
PRIMARY,2026-06-10 15:00:00-04:00,2026-06-10 15:59:00-04:00,short,28582.5,28526.25,1125.0,5.0,1120.0,56.25,56.0,eod
PRIMARY,2026-06-11 10:00:00-04:00,2026-06-11 10:30:00-04:00,long,28964.25,28832.0,-2645.0,5.0,-2650.0,-132.25,-132.5,trail
PRIMARY,2026-06-11 13:30:00-04:00,2026-06-11 15:59:00-04:00,long,29183.5,29456.5,5460.0,5.0,5455.0,273.0,272.75,eod
PRIMARY,2026-06-12 11:00:00-04:00,2026-06-12 12:00:00-04:00,long,29663.5,29470.25,-3865.0,5.0,-3870.0,-193.25,-193.5,trail
PRIMARY,2026-06-15 11:30:00-04:00,2026-06-15 13:00:00-04:00,long,30549.0,30569.0,400.0,5.0,395.0,20.0,19.75,trail
PRIMARY,2026-06-16 10:30:00-04:00,2026-06-16 15:59:00-04:00,short,30337.75,29991.5,6925.0,5.0,6920.0,346.25,346.0,eod
PRIMARY,2026-06-24 11:00:00-04:00,2026-06-24 11:30:00-04:00,long,29884.5,29817.75,-1335.0,5.0,-1340.0,-66.75,-67.0,trail
PRIMARY,2026-06-25 10:00:00-04:00,2026-06-25 10:30:00-04:00,short,29378.75,29601.5,-4455.0,5.0,-4460.0,-222.75,-223.0,trail
PRIMARY,2026-06-29 13:00:00-04:00,2026-06-29 15:59:00-04:00,long,29934.0,30046.0,2240.0,5.0,2235.0,112.0,111.75,eod
PRIMARY,2026-06-30 10:00:00-04:00,2026-06-30 15:59:00-04:00,long,30316.0,30513.25,3945.0,5.0,3940.0,197.25,197.0,eod
PRIMARY,2026-07-02 10:00:00-04:00,2026-07-02 10:30:00-04:00,long,30248.5,29954.0,-5890.0,5.0,-5895.0,-294.5,-294.75,trail
PRIMARY,2026-07-02 11:00:00-04:00,2026-07-02 15:59:00-04:00,short,29842.25,29538.5,6075.0,5.0,6070.0,303.75,303.5,eod
PRIMARY,2026-07-06 10:30:00-04:00,2026-07-06 12:30:00-04:00,long,30024.25,30027.5,65.0,5.0,60.0,3.25,3.0,trail
PRIMARY,2026-07-07 10:30:00-04:00,2026-07-07 12:00:00-04:00,short,29310.75,29399.0,-1765.0,5.0,-1770.0,-88.25,-88.5,trail
PRIMARY,2026-07-09 13:30:00-04:00,2026-07-09 15:30:00-04:00,long,29985.25,29913.75,-1430.0,5.0,-1435.0,-71.5,-71.75,trail
PRIMARY,2026-07-13 14:30:00-04:00,2026-07-13 15:00:00-04:00,short,29456.5,29483.25,-535.0,5.0,-540.0,-26.75,-27.0,trail
PRIMARY,2026-07-13 15:30:00-04:00,2026-07-13 15:59:00-04:00,short,29438.25,29467.25,-580.0,5.0,-585.0,-29.0,-29.25,eod
PRIMARY,2026-07-15 11:00:00-04:00,2026-07-15 11:30:00-04:00,short,29616.25,29626.75,-210.0,5.0,-215.0,-10.5,-10.75,trail
PRIMARY,2026-07-15 12:00:00-04:00,2026-07-15 13:30:00-04:00,short,29580.25,29615.0,-695.0,5.0,-700.0,-34.75,-35.0,trail
