n,mean,sum,pf,win_rate,max_dd,losing_streak,scenario,year
170,0.01042028718507897,1.7714488214634247,1.012799323539581,0.2411764705882353,33.07369667786392,13,PRIMARY,2023
252,-0.06639307026243789,-16.731053706134347,0.9205409695679525,0.21428571428571427,41.025230156638486,17,PRIMARY,2024
248,0.06753550429657651,16.748805065550975,1.0861431860101747,0.2620967741935484,33.46945483931741,19,PRIMARY,2025
54,-0.2880540505237766,-15.554918728283937,0.6218118781627956,0.25925925925925924,18.700690375372353,13,PRIMARY,2026
170,-0.09313446348068086,-15.832858791715745,0.891915818358645,0.23529411764705882,38.27693222228016,13,STRESS,2023
252,-0.16840696547274903,-42.43855529913275,0.8100225977181984,0.21428571428571427,60.183004168514124,17,STRESS,2024
248,-0.04582626566125787,-11.364913883991953,0.9444960699078303,0.2540322580645161,41.94695108306595,19,STRESS,2025
54,-0.36079033700175006,-19.482678198094504,0.5476094861278756,0.25925925925925924,22.488212776416244,13,STRESS,2026
