entry_time,exit_time,side,entry,stop,target,risk_price,exit,exit_reason,gross_R,commission_R,net_R,date,scenario
2023-04-25 09:35:00,2023-04-25 09:35:00,LONG,309.33493039999996,309.0679,312.0052343999995,0.26703039999995326,309.03699321,SL,-1.1157425896078599,0.037448919673571814,-1.1531915092814318,2023-04-25,PRIMARY
2023-04-25 09:35:00,2023-04-25 09:35:00,LONG,309.36586079999995,309.0679,312.34546879999937,0.29796079999994163,309.00608642000003,SL,-1.20745541024185,0.06712292355237306,-1.2745783337942231,2023-04-25,STRESS
2023-04-26 09:35:00,2023-04-26 09:50:00,SHORT,307.51214570999997,308.5563,297.07060280999946,1.0441542900000513,308.58715563000004,SL,-1.0295508339098216,0.00957712868277303,-1.0391279625925947,2023-04-26,PRIMARY
2023-04-26 09:35:00,2023-04-26 09:50:00,SHORT,307.48139141999997,308.5563,296.7323056199994,1.0749085800000557,308.61801126,SL,-1.0574107055690058,0.018606233471500398,-1.0760169390405063,2023-04-26,STRESS
2023-04-27 09:35:00,2023-04-27 09:35:00,SHORT,310.20767613,310.7208,305.0764374299998,0.5131238700000154,310.75187208,SL,-1.0605547350584184,0.01948847166279694,-1.0800432067212153,2023-04-27,PRIMARY
2023-04-27 09:35:00,2023-04-27 09:35:00,SHORT,310.17665226,310.7208,304.7351748600003,0.5441477399999712,310.78294416,SL,-1.1142045724567484,0.03675472400197979,-1.1509592964587283,2023-04-27,STRESS
2023-04-28 09:35:00,2023-04-28 10:05:00,SHORT,314.57573928,315.5369,304.9641320799999,0.9611607200000094,315.56845369,SL,-1.0328287344077163,0.010404087258164173,-1.0432328216658804,2023-04-28,PRIMARY
2023-04-28 09:35:00,2023-04-28 10:05:00,SHORT,314.54427856,315.5369,304.6180641600001,0.9926214399999935,315.60000738,SL,-1.0635764828936396,0.020148668156916027,-1.0837251510505557,2023-04-28,STRESS
2023-05-01 09:35:00,2023-05-01 09:35:00,LONG,316.96089292,316.7325,319.24482211999975,0.22839291999997613,316.70082675000003,SL,-1.1386787734050001,0.04378419436119581,-1.182462967766196,2023-05-01,PRIMARY
2023-05-01 09:35:00,2023-05-01 09:35:00,LONG,316.99258583999995,316.7325,319.59344423999926,0.26008583999993107,316.66915350000005,SL,-1.2435599723536768,0.07689768885536137,-1.3204576612090382,2023-05-01,STRESS
2023-05-02 09:35:00,2023-05-02 09:35:00,LONG,317.11830865999997,316.5553,322.74839525999977,0.56300865999998,316.52364446999997,SL,-1.0562256537937167,0.017761716134171643,-1.0739873699278883,2023-05-02,PRIMARY
2023-05-02 09:35:00,2023-05-02 09:35:00,LONG,317.15001731999996,316.5553,323.0971905199997,0.5947173199999725,316.49198894,SL,-1.1064557191641777,0.03362942246242455,-1.1400851416266022,2023-05-02,STRESS
2023-05-03 09:35:00,2023-05-03 11:00:00,LONG,314.80587744,314.3268,319.5966518400003,0.47907744000002594,314.29536731999997,SL,-1.0656108540615508,0.020873452108284327,-1.086484306169835,2023-05-03,PRIMARY
2023-05-03 09:35:00,2023-05-03 11:00:00,LONG,314.83735488,314.3268,319.9429036800003,0.5105548800000292,314.26393464,SL,-1.123131444752787,0.03917306597872271,-1.1623045107315095,2023-05-03,STRESS
2023-05-04 09:35:00,2023-05-04 11:05:00,SHORT,311.67352953,312.0195,308.21382483,0.3459704699999975,312.05070195,SL,-1.0901867433946744,0.028904200985708617,-1.119090944380383,2023-05-04,PRIMARY
2023-05-04 09:35:00,2023-05-04 11:05:00,SHORT,311.64235906,312.0195,307.87094965999995,0.37714094000000387,312.0819039,SL,-1.165465727481063,0.05303057260237988,-1.2184963000834428,2023-05-04,STRESS
2023-05-05 09:35:00,2023-05-05 15:55:00,LONG,313.73337019999997,312.9739,321.3280721999995,0.7594701999999529,317.67462936,TIME,5.189484933049723,0.013167073573131138,5.176317859476592,2023-05-05,PRIMARY
2023-05-05 09:35:00,2023-05-05 15:55:00,LONG,313.7647404,312.9739,321.6731443999998,0.7908403999999791,317.64285872,TIME,4.903793888122181,0.025289552734028924,4.878504335388152,2023-05-05,STRESS
