year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
2014,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,42,16.666666666666664,66.66666666666666,16.666666666666664,9.523809523809524,-0.4312948168303158,0.3854755655280234,-0.5547471040768874,0.3060124582354989,-0.6164732477001731,0.2740965431574713,1.7039999999997235,8.0,0.1291079812206782,-18.114382306873264,-23.29937837122927,-25.89187640340727
2015,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,33,27.27272727272727,60.60606060606061,12.12121212121212,0.0,-0.1031628994848474,0.8297812158500019,-0.2181455208168602,0.6785031367583688,-0.2756368314828667,0.6143676719301912,1.8859999999999677,7.0,0.1166489925768843,-3.404375682999965,-7.19880218695639,-9.096015438934602
2016,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,22,18.181818181818183,68.18181818181817,13.636363636363637,22.727272727272727,-0.4471422819759384,0.3792834806795758,-0.5611342118859423,0.3085188259862684,-0.6181301768409443,0.2789880797536866,1.9389999999996237,7.0,0.1134794110073498,-9.837130203470643,-12.34495266149073,-13.598863890500777
2017,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,18,44.44444444444444,44.44444444444444,11.11111111111111,5.555555555555555,0.2244948244505521,1.4976542296370658,0.0875952663095854,1.1700695671378447,0.019145487239102,1.03490661578776,1.5270000000000437,9.0,0.1440783514492712,4.040906840109939,1.576714793572538,0.3446187703038372
2018,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,17,11.76470588235294,64.70588235294117,23.52941176470588,0.0,-0.4989301018707447,0.2761773079394203,-0.6473704022137885,0.2003087081917697,-0.7215905523853104,0.1702409718258475,1.4079999999989925,6.0,0.1562500000001118,-8.48181173180266,-11.005296837634404,-12.267039390550275
2019,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,38,10.526315789473683,71.05263157894737,18.421052631578945,10.526315789473683,-0.5425997155581681,0.2528631723707806,-0.6591124510315561,0.1975202880133098,-0.7173688187682504,0.1757263462880917,1.8420000000000984,9.5,0.1194494783296581,-20.61878919121039,-25.046273139199133,-27.26001511319352
2020,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,46,26.08695652173913,60.86956521739131,13.043478260869565,17.391304347826086,-0.1743510069990776,0.7145816961323891,-0.2556958457794204,0.6163906130896576,-0.2963682651695918,0.5732276864767272,2.7670000000000528,8.0,0.0795139868543407,-8.020146321957574,-11.76200890585334,-13.632940197801224
2021,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,27,29.629629629629623,66.66666666666666,3.7037037037037033,11.11111111111111,-0.2444473233435509,0.6451585941744354,-0.3460214764667599,0.5454436613432498,-0.3968085530283644,0.502370549317191,2.161999999999807,6.0,0.1017576318223957,-6.600077730275876,-9.342579864602518,-10.71383093176584
2022,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,40,30.0,67.5,2.5,17.5,-0.2558122943639665,0.637563277932856,-0.3489034365246251,0.5480963087053765,-0.3954490076049544,0.5088846742130013,2.289922994567405,8.0,0.0960737762452234,-10.23249177455866,-13.956137460985005,-15.817960304198175
2023,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,32,25.0,71.875,3.125,18.75,-0.3395081018518505,0.5276409017713384,-0.4426378619422835,0.4413632860597002,-0.4942027419875,0.4039685913260598,2.0279999999995653,6.5,0.108482950456169,-10.864259259259216,-14.164411582153072,-15.8144877436
2024,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,58,27.58620689655172,68.96551724137932,3.4482758620689653,13.79310344827586,-0.267243233100615,0.6138531746794791,-0.3612466851301405,0.5233271082297336,-0.4082484111449033,0.4837115471474623,2.330000000000382,8.0,0.09442234011198,-15.500107519835668,-20.95230773754815,-23.678407846404397
2025,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,1.5,66,33.33333333333333,65.15151515151516,1.5151515151515151,4.545454545454546,-0.1553988869429823,0.7628941854512155,-0.2124884991979215,0.6929248011921125,-0.2410333053253912,0.6606425274202218,3.6030000000000655,10.0,0.0610641835675657,-10.25632653823683,-14.024240947062822,-15.90819815147582
2011,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,32,15.625,81.25,3.125,9.375,-0.4811751663072746,0.4093988016769144,-0.5675983702606685,0.3587103265672471,-0.6108099722373654,0.33627298027412,2.446056156176269,7.0,0.0899436216270554,-15.397605321832788,-18.163147848341392,-19.54591911159569
2012,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,44,47.72727272727273,50.0,2.272727272727273,11.363636363636363,0.4754932729754584,1.947091471690082,0.3209361009241961,1.5477652677624538,0.243657514898565,1.3880990508369384,1.9220000000002528,7.0,0.1144701734324228,20.921704010920173,14.121188440664632,10.720930655536865
2013,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,65,13.846153846153848,76.92307692307693,9.230769230769232,4.615384615384616,-0.5087347889168798,0.3796563171408314,-0.6099577160369426,0.3258135306389728,-0.660569179596974,0.3025014183093888,2.2235528071141744,7.0,0.0989407579150439,-33.06776127959719,-39.64725154240127,-42.936996673803314
2014,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,42,11.904761904761903,66.66666666666666,21.428571428571427,9.523809523809524,-0.3810721347674794,0.4570346571005819,-0.504524422014051,0.368840935228823,-0.5662505656373368,0.3332342570117588,1.7039999999997235,8.0,0.1291079812206782,-16.005029660234136,-21.190025724590143,-23.782523756768143
2015,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,33,18.181818181818183,63.63636363636363,18.181818181818183,0.0,-0.1410987625063804,0.7782733732042595,-0.2560813838383933,0.640255427671342,-0.3135726945043997,0.5816696728203933,1.8859999999999677,7.0,0.1166489925768843,-4.656259162710553,-8.45068566666698,-10.347898918645187
2016,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,22,13.636363636363637,68.18181818181817,18.181818181818183,22.727272727272727,-0.4521927870264399,0.3766428232089804,-0.5661847169364438,0.3108729646110819,-0.6231806818914459,0.2836472537134465,1.9389999999996237,7.0,0.1134794110073498,-9.94824131458168,-12.456063772601764,-13.70997500161181
2017,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,18,27.77777777777778,55.55555555555556,16.666666666666664,5.555555555555555,0.0588125965351747,1.1046083303178986,-0.0780869616057919,0.878746651586036,-0.1465367406762753,0.7864941982029039,1.5270000000000437,9.0,0.1440783514492712,1.058626737633146,-1.4055653089042552,-2.637661332172956
2018,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,17,5.88235294117647,70.58823529411765,23.52941176470588,0.0,-0.6165771606942742,0.1758337518033204,-0.7650174610373179,0.1282250605593558,-0.8392376112088398,0.1093250007318043,1.4079999999989925,6.0,0.1562500000001118,-10.48181173180266,-13.005296837634404,-14.267039390550275
2019,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,38,7.894736842105263,73.68421052631578,18.421052631578945,10.526315789473683,-0.5689155050318524,0.2440208976075534,-0.6854282405052403,0.1944313664477047,-0.7436846082419347,0.1749883855194163,1.8420000000000984,9.5,0.1194494783296581,-21.618789191210396,-26.046273139199133,-28.26001511319352
2020,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,46,26.08695652173913,60.86956521739131,13.043478260869565,17.391304347826086,-0.043916224390382,0.928107703571574,-0.1252610631707248,0.8120762599791645,-0.1659334825608961,0.7610546587943074,2.7670000000000528,8.0,0.0795139868543407,-2.020146321957576,-5.762008905853341,-7.632940197801223
2021,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,27,25.925925925925924,66.66666666666666,7.4074074074074066,11.11111111111111,-0.1247662803772653,0.8188884143907179,-0.2263404335004744,0.7026644710249923,-0.2771275100620788,0.6524600854774691,2.161999999999807,6.0,0.1017576318223957,-3.3686895701861657,-6.11119170451281,-7.48244277167613
2022,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,40,25.0,70.0,5.0,17.5,-0.1870102110306303,0.7441063697575218,-0.2801013531912889,0.6497425388551392,-0.3266469242716183,0.6084054936131491,2.289922994567405,8.0,0.0960737762452234,-7.480408441225213,-11.204054127651558,-13.065876970864732
2023,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,32,25.0,71.875,3.125,18.75,-0.2145081018518505,0.7015539452495992,-0.3176378619422835,0.5991211175658596,-0.3692027419875,0.554724383947961,2.0279999999995653,6.5,0.108482950456169,-6.864259259259217,-10.164411582153072,-11.8144877436
2024,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,58,22.41379310344828,74.13793103448276,3.4482758620689653,13.79310344827586,-0.2844846124109583,0.6175258409172748,-0.3784880644404839,0.5349125692372911,-0.4254897904552467,0.4987156588178267,2.330000000000382,8.0,0.09442234011198,-16.50010751983558,-21.952307737548065,-24.67840784640431
2025,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.0,66,27.27272727272727,68.18181818181817,4.545454545454546,4.545454545454546,-0.1231039238326225,0.8231270841957344,-0.1801935360875618,0.7549871793337128,-0.2087383422150315,0.7235864947795402,3.6030000000000655,10.0,0.0610641835675657,-8.12485897295309,-11.892773381779085,-13.77673058619208
2011,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,32,6.25,90.625,3.125,9.375,-0.7311751663072746,0.1951584467510663,-0.8175983702606685,0.1711837502662767,-0.8608099722373653,0.1605639960120102,2.446056156176269,7.0,0.0899436216270554,-23.39760532183279,-26.163147848341392,-27.54591911159569
2012,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,44,36.36363636363637,56.81818181818182,6.8181818181818175,11.363636363636363,0.2281278291296725,1.3027982261182478,0.0735706570784102,1.0872617427336932,-0.0037079289472207,0.9958241947440984,1.9220000000002528,7.0,0.1144701734324228,10.037624481705592,3.2371089114500524,-0.1631488736777129
2013,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,65,10.76923076923077,80.0,9.230769230769232,4.615384615384616,-0.5471963273784184,0.3568862220689858,-0.6484192544984811,0.3087783201125916,-0.6990307180585126,0.2879301412824848,2.2235528071141744,7.0,0.0989407579150439,-35.56776127959719,-42.14725154240127,-45.436996673803314
