datetime,open_yahoo,high_yahoo,low_yahoo,close_yahoo,volume_yahoo,open_get,high_get,low_get,close_get,volume_get,open_abs_diff,high_abs_diff,low_abs_diff,close_abs_diff,max_ohlc_abs_diff
2026-07-28 09:30:00,27949.75,27992.0,27928.75,27943.5,5222,27950.0,27992.0,27928.75,27943.5,5220,0.25,0.0,0.0,0.0,0.25
2026-07-28 09:31:00,27943.5,27949.0,27899.25,27910.5,4093,27945.5,27949.0,27899.25,27910.5,4091,2.0,0.0,0.0,0.0,2.0
2026-07-28 09:32:00,27908.75,27918.0,27871.25,27898.25,3297,27910.5,27918.0,27871.25,27898.5,3299,1.75,0.0,0.0,0.25,1.75
2026-07-28 09:33:00,27896.25,27918.25,27883.25,27903.25,3274,27896.75,27918.25,27883.25,27903.75,3273,0.5,0.0,0.0,0.5,0.5
2026-07-28 09:34:00,27907.5,27916.75,27875.75,27877.0,2255,27904.5,27916.75,27875.75,27877.0,2253,3.0,0.0,0.0,0.0,3.0
2026-07-28 09:35:00,27877.0,27916.75,27876.0,27911.5,2652,27876.0,27916.75,27876.0,27913.25,2654,1.0,0.0,0.0,1.75,1.75
2026-07-28 09:36:00,27913.25,27926.25,27852.0,27860.5,3505,27913.0,27926.25,27852.0,27860.5,3496,0.25,0.0,0.0,0.0,0.25
2026-07-28 09:37:00,27861.0,27878.5,27822.25,27834.5,3325,27861.0,27878.5,27822.25,27834.75,3326,0.0,0.0,0.0,0.25,0.25
2026-07-28 09:38:00,27835.25,27847.25,27810.75,27811.75,2528,27834.25,27847.25,27810.75,27811.25,2527,1.0,0.0,0.0,0.5,1.0
2026-07-28 09:39:00,27811.75,27817.5,27788.75,27791.25,2522,27811.75,27817.5,27788.75,27791.25,2518,0.0,0.0,0.0,0.0,0.0
2026-07-28 09:40:00,27792.0,27835.0,27787.5,27813.75,3625,27792.0,27835.0,27787.5,27813.25,3628,0.0,0.0,0.0,0.5,0.5
2026-07-28 09:41:00,27813.0,27841.5,27799.5,27812.75,2460,27813.75,27841.5,27799.5,27811.75,2469,0.75,0.0,0.0,1.0,1.0
2026-07-28 09:42:00,27813.75,27816.0,27760.25,27762.25,3427,27812.25,27816.0,27760.25,27761.5,3414,1.5,0.0,0.0,0.75,1.5
2026-07-28 09:43:00,27762.5,27768.25,27728.5,27735.5,3154,27762.5,27768.25,27728.5,27735.75,3154,0.0,0.0,0.0,0.25,0.25
2026-07-28 09:44:00,27738.25,27771.25,27735.5,27749.25,2470,27736.0,27771.25,27735.5,27749.75,2470,2.25,0.0,0.0,0.5,2.25
2026-07-28 09:45:00,27749.0,27764.5,27706.75,27711.5,3537,27749.25,27764.5,27706.75,27712.0,3535,0.25,0.0,0.0,0.5,0.5
2026-07-28 09:46:00,27710.5,27712.0,27673.0,27683.5,3711,27710.5,27712.0,27673.0,27683.5,3708,0.0,0.0,0.0,0.0,0.0
2026-07-28 09:47:00,27684.25,27687.25,27658.75,27659.5,2795,27684.25,27687.25,27658.75,27660.0,2763,0.0,0.0,0.0,0.5,0.5
2026-07-28 09:48:00,27659.75,27733.25,27659.25,27727.5,3851,27660.25,27733.25,27659.25,27727.5,3821,0.5,0.0,0.0,0.0,0.5
2026-07-28 09:49:00,27729.75,27758.5,27716.5,27755.5,3333,27729.25,27758.5,27716.5,27755.5,3305,0.5,0.0,0.0,0.0,0.5
2026-07-28 09:50:00,27755.5,27799.0,27719.25,27722.75,4438,27755.5,27799.0,27719.25,27722.25,4437,0.0,0.0,0.0,0.5,0.5
2026-07-28 09:51:00,27723.75,27748.5,27702.75,27727.25,2582,27723.75,27748.5,27702.75,27726.5,2571,0.0,0.0,0.0,0.75,0.75
2026-07-28 09:52:00,27727.25,27786.25,27723.0,27752.75,2539,27725.0,27786.25,27723.0,27752.75,2533,2.25,0.0,0.0,0.0,2.25
2026-07-28 09:53:00,27754.0,27755.5,27682.25,27717.0,3302,27754.0,27755.5,27682.25,27716.0,3294,0.0,0.0,0.0,1.0,1.0
2026-07-28 09:54:00,27719.25,27735.0,27692.5,27696.0,2025,27716.5,27735.0,27692.5,27696.0,2023,2.75,0.0,0.0,0.0,2.75
2026-07-28 09:55:00,27697.5,27708.25,27671.25,27676.5,2788,27698.0,27708.25,27671.25,27676.5,2787,0.5,0.0,0.0,0.0,0.5
2026-07-28 09:56:00,27678.0,27710.25,27662.25,27708.25,2867,27677.0,27710.25,27662.25,27708.25,2862,1.0,0.0,0.0,0.0,1.0
2026-07-28 09:57:00,27705.0,27720.5,27679.25,27688.5,2486,27707.75,27720.5,27679.25,27688.25,2488,2.75,0.0,0.0,0.25,2.75
2026-07-28 09:58:00,27686.75,27690.25,27663.0,27665.25,1683,27686.75,27690.25,27663.0,27665.25,1677,0.0,0.0,0.0,0.0,0.0
2026-07-28 09:59:00,27664.5,27691.75,27641.75,27662.5,2287,27664.5,27691.75,27641.75,27665.25,2268,0.0,0.0,0.0,2.75,2.75
2026-07-28 10:00:00,27663.0,27731.75,27652.0,27725.5,3100,27665.5,27731.75,27652.0,27727.0,3099,2.5,0.0,0.0,1.5,2.5
2026-07-28 10:01:00,27725.5,27734.75,27692.0,27703.25,1995,27724.5,27734.75,27692.0,27706.0,2006,1.0,0.0,0.0,2.75,2.75
2026-07-28 10:02:00,27709.0,27749.5,27705.25,27729.0,2342,27706.0,27749.5,27705.25,27730.25,2321,3.0,0.0,0.0,1.25,3.0
2026-07-28 10:03:00,27729.25,27740.0,27712.25,27718.25,1478,27730.75,27740.0,27712.25,27717.5,1468,1.5,0.0,0.0,0.75,1.5
2026-07-28 10:04:00,27716.75,27734.25,27695.75,27715.25,1579,27716.75,27734.25,27695.75,27715.25,1572,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:05:00,27712.0,27771.25,27705.5,27767.5,2291,27714.0,27771.25,27705.5,27766.25,2300,2.0,0.0,0.0,1.25,2.0
2026-07-28 10:06:00,27767.0,27782.0,27740.5,27780.25,2344,27767.0,27782.0,27740.5,27780.5,2323,0.0,0.0,0.0,0.25,0.25
2026-07-28 10:07:00,27779.0,27793.5,27720.5,27724.25,2406,27779.0,27793.5,27720.5,27724.0,2386,0.0,0.0,0.0,0.25,0.25
2026-07-28 10:08:00,27724.5,27727.5,27666.75,27695.25,2558,27724.25,27727.5,27666.75,27695.25,2558,0.25,0.0,0.0,0.0,0.25
2026-07-28 10:09:00,27694.25,27701.75,27673.75,27673.75,1679,27694.25,27701.75,27673.75,27673.75,1678,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:10:00,27674.5,27719.5,27665.5,27699.25,2195,27674.5,27719.5,27665.5,27699.25,2195,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:11:00,27700.25,27724.25,27690.5,27722.75,1679,27700.75,27724.25,27690.5,27722.75,1679,0.5,0.0,0.0,0.0,0.5
2026-07-28 10:12:00,27723.75,27731.0,27660.25,27662.25,1925,27723.75,27731.0,27660.25,27662.25,1925,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:13:00,27662.75,27685.5,27647.25,27652.75,2382,27661.75,27685.5,27647.25,27652.75,2380,1.0,0.0,0.0,0.0,1.0
2026-07-28 10:14:00,27652.5,27652.75,27608.75,27629.25,3997,27652.5,27652.75,27608.75,27630.25,3997,0.0,0.0,0.0,1.0,1.0
2026-07-28 10:15:00,27631.75,27655.25,27614.75,27644.75,2896,27631.75,27655.25,27614.75,27644.25,2897,0.0,0.0,0.0,0.5,0.5
2026-07-28 10:16:00,27644.5,27652.0,27603.5,27612.0,2235,27645.0,27652.0,27603.5,27610.5,2238,0.5,0.0,0.0,1.5,1.5
2026-07-28 10:17:00,27611.25,27628.5,27607.25,27624.0,2289,27612.0,27628.5,27607.25,27623.5,2285,0.75,0.0,0.0,0.5,0.75
2026-07-28 10:18:00,27624.0,27647.0,27611.25,27636.25,2291,27624.0,27647.0,27611.25,27636.25,2290,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:19:00,27636.25,27641.0,27613.25,27615.25,1982,27636.25,27641.0,27613.25,27615.25,1982,0.0,0.0,0.0,0.0,0.0
2026-07-28 10:20:00,27614.0,27641.5,27612.75,27618.5,1615,27614.25,27641.5,27612.75,27618.5,1614,0.25,0.0,0.0,0.0,0.25
2026-07-28 10:21:00,27620.25,27677.5,27606.0,27676.25,2568,27620.25,27677.5,27606.0,27675.75,2566,0.0,0.0,0.0,0.5,0.5
2026-07-28 10:22:00,27675.75,27687.75,27618.75,27630.5,2412,27675.5,27687.75,27618.75,27630.25,2413,0.25,0.0,0.0,0.25,0.25
2026-07-28 10:23:00,27632.0,27699.25,27625.0,27698.5,3025,27631.5,27699.25,27625.0,27697.75,3026,0.5,0.0,0.0,0.75,0.75
